Frame Count,Frame Time (ns)
0,528971
1,701232
2,8185404
3,362633
4,159213
5,147050
6,201462
7,157664
8,164438
9,170657
10,169673
11,141316
12,198433
13,172369
14,158214
15,166995
16,169915
17,144298
18,192289
19,162978
20,166925
21,166337
22,166612
23,142842
24,192695
25,169416
26,165944
27,164867
28,166929
29,144265
30,199707
31,165086
32,165324
33,166257
34,166775
35,168590
36,148090
37,196890
38,167396
39,169108
40,165641
41,167298
42,142268
43,196694
44,165590
45,173987
46,165502
47,166621
48,140906
49,200655
50,160024
51,166579
52,174538
53,171575
54,171982
55,135457
56,207456
57,166341
58,164722
59,166929
60,169271
61,139278
62,205670
63,158513
64,163183
65,171674
66,165226
67,171137
68,139917
69,212010
70,150946
71,166033
72,167605
73,167297
74,140518
75,193825
76,163818
77,171725
78,162282
79,166094
80,141830
81,200860
82,156815
83,170008
84,164023
85,166738
86,140720
87,201061
88,157300
89,165259
90,168968
91,165703
92,132794
93,193763
94,166584
95,163939
96,169500
97,169467
98,138872
99,209667
100,150731
101,168637
102,166248
103,168580
104,144647
105,197272
106,166043
107,165534
108,168534
109,167297
110,169285
111,141904
112,195490
113,163239
114,170717
115,171501
116,167265
117,144615
118,197827
119,159526
120,167956
121,170325
122,165530
123,148520
124,203145
125,160188
126,166070
127,167956
128,164783
129,165147
130,141611
131,195919
132,166878
133,164830
134,163705
135,174133
136,144480
137,206608
138,159740
139,170666
140,171823
141,166449
142,170237
143,139702
144,219195
145,149551
146,165408
147,166192
148,165432
149,140864
150,195495
151,168404
152,171776
153,167139
154,168114
155,139142
156,202274
157,162212
158,165861
159,298258
160,169038
161,164401
162,170195
163,169257
164,171468
165,169355
166,143598
167,201634
168,161989
169,167041
170,164167
171,166789
172,147489
173,197907
174,160580
175,166286
176,166523
177,167181
178,139478
179,197702
180,169812
181,167447
182,166421
183,166570
184,143929
185,202730
186,168025
187,172243
188,174529
189,162246
190,166257
191,131687
192,213983
193,158187
194,173512
195,172196
196,161667
197,132028
198,211930
199,159348
200,167456
201,164476
202,165590
203,134356
204,208852
205,165012
206,167964
207,166995
208,169593
209,169225
210,139805
211,202665
212,159684
213,166430
214,167214
215,166010
216,141806
217,206444
218,158742
219,168609
220,169915
221,168287
222,170726
223,143099
224,198654
225,168931
226,167773
227,172746
228,164382
229,140864
230,196642
231,163183
232,165693
233,168468
234,167367
235,171216
236,141232
237,200674
238,158545
239,170871
240,169365
241,167736
242,139002
243,204102
244,160733
245,170657
246,168520
247,170759
248,143840
249,199320
250,161377
251,166202
252,164722
253,167503
254,139175
255,203663
256,163733
257,164153
258,169150
259,163491
260,171053
