Frame Count,Frame Time (ns)
0,805559
1,469829
2,10301234
3,996305
4,702226
5,627670
6,567964
7,482509
8,525952
9,489489
10,328564
11,355413
12,374391
13,376122
14,353253
15,316839
16,340236
17,397213
18,388876
19,317344
20,247182
21,222512
22,397540
23,433239
24,327574
25,252953
26,366133
27,364123
28,412105
29,241173
30,389903
31,311349
32,296004
33,392949
34,300152
35,233382
36,267313
37,424948
38,468392
39,402905
40,401091
41,446769
42,504739
43,327379
44,330653
45,410262
46,423288
47,399224
48,385774
49,534766
50,523060
51,526154
52,366376
53,419541
54,385569
55,416738
56,324412
57,416234
58,388093
59,366730
60,325783
61,276784
62,485318
63,322952
64,385518
65,330598
66,318151
67,392287
68,377614
69,413393
70,331825
71,390616
72,372441
73,245181
74,252967
75,341542
76,363848
77,349348
78,342233
79,312007
80,256770
81,377213
82,376262
83,239256
84,219386
85,326833
86,229747
87,464492
88,367285
89,339546
90,226258
91,260264
92,368588
93,381991
94,237408
95,453239
96,363106
97,421856
98,414064
99,355124
100,326450
101,371247
102,397115
103,358347
104,360782
105,323260
106,414126
107,393775
108,256979
109,434951
110,334629
111,408014
112,362807
113,245572
114,335632
115,256578
116,507707
117,379551
118,359490
119,358571
120,408789
121,431653
122,495572
123,366759
124,465154
125,504208
126,395726
127,461339
128,494700
129,441782
130,419234
131,454396
132,675933
133,605175
134,571267
135,726426
136,727429
137,557934
138,723856
139,537952
140,478204
141,592536
142,556590
143,472521
144,580770
145,638191
146,608874
147,597388
148,637771
149,554272
150,597976
151,747303
152,519146
153,571248
154,614621
155,500728
156,543956
157,522492
158,528939
159,612391
160,626878
161,689486
162,572475
163,676334
164,518670
165,556599
166,653512
167,495096
168,568300
169,433025
170,562053
171,445369
172,559329
173,468071
174,483051
175,469288
176,624171
177,545001
178,569191
179,695350
180,540420
181,756167
182,714063
183,750597
184,757115
185,653343
186,844267
187,738122
188,701546
189,716209
190,854120
191,934400
192,1001833
193,1008555
194,1023970
195,903470
196,886222
197,909670
198,786809
199,719904
200,782671
201,692294
202,646496
203,616380
204,562846
205,681774
206,580892
207,579450
208,700640
209,657883
210,677822
211,724556
212,696685
213,577420
214,582361
215,672701
216,571323
217,654482
218,604451
219,579823
220,689864
221,625599
222,651599
223,629173
224,599077
225,605385
226,579170
227,692821
228,520709
229,588360
230,647465
231,507240
232,563965
233,568062
234,507641
235,535988
236,617453
237,434648
238,626047
239,520094
240,441525
241,577747
242,629467
243,604853
244,704778
245,668950
246,635817
247,765148
248,672966
249,731567
250,729659
251,734706
252,709789
253,807122
254,719050
255,700156
256,760785
257,724644
258,886949
259,1046788
260,1004110
261,830900
262,932436
263,874498
264,829740
265,909381
266,893042
267,1132886
268,1075134
269,1092461
270,1004203
271,959906
272,837054
273,799457
274,807192
275,890682
276,942397
277,1099964
278,1103117
279,1031065
280,945816
281,818976
282,990025
283,772971
284,873733
285,852566
286,804966
287,791232
288,877498
289,843739
290,779769
291,1041013
292,938278
293,917153
294,835501
295,832077
296,755509
297,660421
298,665972
299,578572
300,592107
301,544474
302,642347
303,640155
304,577462
305,564801
306,493385
307,536977
308,558573
309,592582
310,509956
311,512274
312,374106
313,510846
314,419570
315,380614
316,484338
317,476328
318,432777
319,337708
320,334162
321,385182
322,383950
323,361254
324,310141
325,259158
326,411317
327,434107
328,352277
329,484436
330,364771
331,466484
332,572135
333,420171
334,636171
335,544708
336,559450
337,432353
338,664886
339,659198
340,591235
341,670848
342,843474
343,687792
344,718952
345,799788
346,620817
347,618330
348,654589
349,532433
350,588277
