Frame Count,Frame Time (ns)
0,3027183
1,1051729
2,14350195
3,1059217
4,1008365
5,2616777
6,1184219
7,938977
8,777688
9,682800
10,642408
11,552797
12,550731
13,499864
14,440162
15,461674
16,464422
17,389003
18,482804
19,329809
20,339728
21,392446
22,458292
23,359299
24,329790
25,414998
26,426615
27,338547
28,245153
29,476617
30,467613
31,458884
32,530030
33,381300
34,403787
35,439211
36,366334
37,456010
38,568893
39,398086
40,422551
41,516202
42,413365
43,552447
44,352651
45,591454
46,482136
47,479146
48,434975
49,539725
50,639767
51,420829
52,657239
53,504670
54,371597
55,576679
56,415572
57,479953
58,446120
59,463648
60,602230
61,422369
62,568911
63,427581
64,509779
65,439388
66,514038
67,509344
68,440373
69,589098
70,456981
71,708600
72,621139
73,544880
74,608021
75,514420
76,660141
77,595186
78,701686
79,754152
80,795142
81,619660
82,831745
83,740581
84,833546
85,908797
86,930053
87,941781
88,872432
89,1022668
90,1039230
91,1022193
92,1128328
93,1109574
94,2744545
95,1093367
96,1132905
97,1139100
98,1148641
99,1051868
100,1173447
101,1154715
102,1050277
103,1083536
104,1106546
105,950906
106,961973
107,1252855
108,1195215
109,1129942
110,951065
111,1142758
112,1241298
113,1106061
114,1129387
115,986591
116,1102217
117,997723
118,1116017
119,1105762
120,1032306
121,1172611
122,1255733
123,1257315
124,1181825
125,1091160
126,1047446
127,1196161
128,983601
129,1121321
130,1142772
131,1029349
132,999944
133,1119394
134,1153255
135,1184918
136,1169430
137,1306748
138,1337129
139,1107488
140,1173363
141,1214342
142,1316830
143,1183831
144,1305194
145,1380553
146,1035913
147,1120486
148,1151188
149,1095582
150,1204812
151,1223761
152,1086345
153,1061955
154,1206090
155,1327108
156,1166243
157,1279046
158,1185315
159,1299032
160,1137976
161,1071141
162,1125081
163,1109480
164,1144130
165,1234506
166,1166196
167,1125893
168,1136488
169,1158447
170,1046849
171,969754
172,1067474
173,1277166
174,1117285
175,1036142
176,1099945
177,996500
178,1094193
179,1113651
180,988742
181,1009573
182,1165469
183,1134318
184,1103023
185,1071939
186,1423190
187,1121522
188,1044725
189,950011
190,1098904
191,1090464
192,936873
193,1138900
194,1058642
195,1013907
196,894699
197,1015965
198,1017900
199,919551
200,1109471
201,1077710
202,1086280
203,960797
204,1039832
205,1052265
206,952554
207,1163822
208,1092298
209,1115279
210,1046391
211,892889
212,730396
213,844411
214,887463
215,946251
216,802512
217,755635
218,788614
219,1102090
220,856383
221,855324
222,1017079
223,819140
224,850920
225,766254
226,1013100
227,935198
228,1009983
229,955232
230,912562
231,1087152
232,817017
233,1115886
234,964104
235,928634
236,1051290
237,983923
238,1075349
239,968383
240,845186
241,1045145
242,875142
243,870883
244,896187
245,851857
246,1034491
247,790401
248,807122
249,836061
250,897195
251,940489
252,953902
253,1113828
254,982444
255,878174
256,883335
