Frame No.,newgc-csharp-1500,newgc-csharp-inverse-1500,newgc-frp-1500,newgc-frp-inverse-1500
0,681056,804948,805559,3027183
1,423633,461068,469829,1051729
2,13785203,18029924,10301234,14350195
3,974387,1145758,996305,1059217
4,687088,824798,702226,1008365
5,674692,486811,627670,2616777
6,633829,474779,567964,1184219
7,394437,368196,482509,938977
8,585319,480163,525952,777688
9,481231,461665,489489,682800
10,355338,353784,328564,642408
11,368289,238630,355413,552797
12,391345,393342,374391,550731
13,411391,357852,376122,499864
14,362294,228946,353253,440162
15,351960,442742,316839,461674
16,417956,311405,340236,464422
17,422047,398328,397213,389003
18,330225,362984,388876,482804
19,342789,236168,317344,329809
20,468966,243254,247182,339728
21,395184,379808,222512,392446
22,400951,467506,397540,458292
23,349129,414321,433239,359299
24,407752,368601,327574,329790
25,391872,368578,252953,414998
26,315785,408070,366133,426615
27,227350,398091,364123,338547
28,327411,418693,412105,245153
29,386199,336793,241173,476617
30,391666,408349,389903,467613
31,362966,383960,311349,458884
32,320362,295305,296004,530030
33,267318,369124,392949,381300
34,402635,439104,300152,403787
35,371466,395879,233382,439211
36,314073,399835,267313,366334
37,324099,325205,424948,456010
38,351284,349730,468392,568893
39,380097,292627,402905,398086
40,397857,502985,401091,422551
41,235342,317973,446769,516202
42,366311,337969,504739,413365
43,235477,244303,327379,552447
44,515661,393836,330653,352651
45,380200,376822,410262,591454
46,363376,332151,423288,482136
47,327514,224929,399224,479146
48,255794,427618,385774,434975
49,380222,507423,534766,539725
50,383703,428168,523060,639767
51,348718,413309,526154,420829
52,240576,423246,366376,657239
53,416211,566336,419541,504670
54,376056,406647,385569,371597
55,405490,374797,416738,576679
56,238174,338944,324412,415572
57,324141,387295,416234,479953
58,241168,463568,388093,446120
59,402224,308577,366730,463648
60,386805,350150,325783,602230
61,258378,383675,276784,422369
62,438347,303683,485318,568911
63,331937,317941,322952,427581
64,410309,232117,385518,509779
65,398795,361720,330598,439388
66,338314,412232,318151,514038
67,233405,398674,392287,509344
68,349982,222348,377614,440373
69,389847,347206,413393,589098
70,302204,248330,331825,456981
71,458647,395884,390616,708600
72,295197,360208,372441,621139
73,252184,303544,245181,544880
74,367081,316182,252967,608021
75,379906,239633,341542,514420
76,246478,408993,363848,660141
77,332978,397167,349348,595186
78,246417,391060,342233,701686
79,394209,351932,312007,754152
80,444883,308759,256770,795142
81,320568,500471,377213,619660
82,254548,506261,376262,831745
83,364814,443634,239256,740581
84,394503,366096,219386,833546
85,397120,381086,326833,908797
86,364276,451276,229747,930053
87,256200,325755,464492,941781
88,481652,339196,367285,872432
89,358156,391942,339546,1022668
90,366801,400470,226258,1039230
91,343073,316583,260264,1022193
92,239381,319723,368588,1128328
93,411140,324379,381991,1109574
94,384571,273415,237408,2744545
95,341636,395950,453239,1093367
96,244821,320255,363106,1132905
97,437923,229221,421856,1139100
98,376546,254870,414064,1148641
99,393411,445803,355124,1051868
100,328624,359271,326450,1173447
101,234133,324463,371247,1154715
102,415352,224630,397115,1050277
103,372249,253536,358347,1083536
104,244929,384235,360782,1106546
105,335245,453706,323260,950906
106,352613,431611,414126,961973
107,401053,351872,393775,1252855
108,462272,442850,256979,1195215
109,362676,416164,434951,1129942
110,353569,376066,334629,951065
111,420820,484758,408014,1142758
112,472553,459640,362807,1241298
113,333635,397116,245572,1106061
114,363796,338011,335632,1129387
115,396150,251268,256578,986591
116,407282,395893,507707,1102217
117,321304,455586,379551,997723
118,243501,337801,359490,1116017
119,414448,341393,358571,1105762
120,377129,265811,408789,1032306
121,401240,412707,431653,1172611
122,362140,469848,495572,1255733
123,260329,341099,366759,1257315
124,441581,357848,465154,1181825
125,377927,340931,504208,1091160
126,434803,299163,395726,1047446
127,352100,485607,461339,1196161
128,428275,333415,494700,983601
129,423606,380581,441782,1121321
130,331769,395460,419234,1142772
131,369525,419617,454396,1029349
132,510576,475591,675933,999944
133,405373,343619,605175,1119394
134,356505,395740,571267,1153255
135,340684,405093,726426,1184918
136,389997,435180,727429,1169430
137,381772,458595,557934,1306748
138,350122,345098,723856,1337129
139,332062,404282,537952,1107488
140,345275,373514,478204,1173363
141,397414,335687,592536,1214342
142,413524,436188,556590,1316830
143,370519,333505,472521,1183831
144,367188,408028,580770,1305194
145,500751,397648,638191,1380553
146,408233,425612,608874,1035913
147,382761,376798,597388,1120486
148,367043,416421,637771,1151188
149,416976,399458,554272,1095582
150,489073,409142,597976,1204812
151,396094,351694,747303,1223761
152,411177,391867,519146,1086345
153,424044,414573,571248,1061955
154,509120,260842,614621,1206090
155,462920,462771,500728,1327108
156,382742,337866,543956,1166243
157,419971,455348,522492,1279046
158,401734,402859,528939,1185315
159,376369,506070,612391,1299032
160,449162,472237,626878,1137976
161,502865,446946,689486,1071141
162,433846,450538,572475,1125081
163,388868,486303,676334,1109480
164,383241,425332,518670,1144130
165,493459,445989,556599,1234506
166,503881,485020,653512,1166196
167,368326,432679,495096,1125893
168,388779,373878,568300,1136488
169,429950,427454,433025,1158447
170,496286,554276,562053,1046849
171,372661,450291,445369,969754
172,388102,389931,559329,1067474
173,418320,535922,468071,1277166
174,404590,505383,483051,1117285
175,475750,394023,469288,1036142
176,428766,433085,624171,1099945
177,425747,431331,545001,996500
178,415889,506316,569191,1094193
179,355763,375137,695350,1113651
180,449852,561102,540420,988742
181,405140,633894,756167,1009573
182,434569,601788,714063,1165469
183,366871,484759,750597,1134318
184,387832,475325,757115,1103023
185,427151,585566,653343,1071939
186,499668,425411,844267,1423190
187,446867,536156,738122,1121522
188,398436,503229,701546,1044725
189,438730,470683,716209,950011
190,535493,405033,854120,1098904
191,465789,503634,934400,1090464
192,424650,506340,1001833,936873
193,434359,407519,1008555,1138900
194,591538,478520,1023970,1058642
195,387561,516953,903470,1013907
196,414881,426498,886222,894699
197,529414,481372,909670,1015965
198,527273,462626,786809,1017900
199,498735,515027,719904,919551
200,409404,511873,782671,1109471
201,456506,402616,692294,1077710
202,619012,494863,646496,1086280
203,474588,521819,616380,960797
204,423521,451010,562846,1039832
205,472091,545286,681774,1052265
206,629406,406092,580892,952554
207,490427,558862,579450,1163822
208,485561,501974,700640,1092298
209,629775,505514,657883,1115279
210,495932,465980,677822,1046391
211,496706,614090,724556,892889
212,544814,585315,696685,730396
213,509881,607810,577420,844411
214,566942,647064,582361,887463
215,557775,562645,672701,946251
216,623854,638014,571323,802512
217,567404,562744,654482,755635
218,581060,639418,604451,788614
219,514168,492899,579823,1102090
220,550390,526326,689864,856383
221,552853,613670,625599,855324
222,519198,486302,651599,1017079
223,544969,647335,629173,819140
224,572396,521423,599077,850920
225,619973,489950,605385,766254
226,584559,527012,579170,1013100
227,603700,536981,692821,935198
228,649360,514332,520709,1009983
229,578256,542832,588360,955232
230,605450,556646,647465,912562
231,630783,514183,507240,1087152
232,562371,610559,563965,817017
233,599916,545468,568062,1115886
234,616152,529676,507641,964104
235,581312,570427,535988,928634
