Frame Count,Frame Time (ns)
0,2202526
1,823789
2,10720303
3,1327809
4,1306867
5,1110826
6,1091988
7,1236015
8,1066441
9,1063096
10,1216146
11,1085774
12,1052216
13,1210687
14,1073873
15,1115491
16,1232554
17,1080740
18,1062070
19,1244338
20,1091545
21,1085195
22,1230221
23,1105289
24,1104388
25,1234504
26,1099994
27,1266135
28,1109213
29,1129081
30,1255903
31,1107369
32,1115137
33,1270277
34,1082359
35,1109936
36,1282878
37,1129899
38,1269895
39,1161174
40,1165145
41,1276066
42,1124109
43,1272577
44,1170435
45,1121711
46,1316007
47,1132264
48,1313179
49,1181459
50,1130818
51,1283848
52,1141315
53,1149577
54,1338321
55,1322836
56,1475625
57,1222285
58,1256034
59,1340695
60,1292270
61,1425552
62,1241352
63,1280233
64,1373870
65,1146078
66,1278628
67,1158781
68,1199999
69,1361600
70,1159397
71,1304030
72,1159070
73,1151401
74,1279571
75,1136005
76,1291248
77,1146894
78,1129161
79,1279118
80,1181446
81,1174494
82,1283751
83,1188150
84,1291541
85,1179449
86,1175651
87,1265798
88,1140651
89,1276850
90,1135445
91,1103796
92,1299086
93,1169567
94,1146549
95,1282477
96,1104127
97,1120554
98,1268019
99,1124752
100,1079541
101,1241833
102,1064859
103,1122401
104,1226209
105,1115492
106,1112367
107,1248383
108,1133024
109,1069208
110,1195689
111,1064103
112,1074628
113,1208728
114,1047225
115,1074945
116,1037311
117,1171237
118,1026614
119,1040390
120,1221394
121,1048466
122,1017087
123,1045690
124,1194755
125,1013513
126,1024770
127,1007751
128,1156542
129,986505
130,876979
131,967775
132,1123092
133,992337
134,990905
135,990219
136,1142957
137,984145
138,872869
139,948152
140,1098608
141,932626
142,820099
143,860048
144,930942
145,964570
146,890344
147,952379
148,834189
149,817757
150,892523
151,971198
152,912248
153,923734
154,800057
155,803412
156,922871
157,878742
158,785725
159,737094
160,767623
161,774846
162,736885
163,861723
164,695349
165,733077
166,727506
167,598880
168,640247
169,614901
170,582346
171,611569
172,713856
173,696254
174,733506
175,634541
176,547300
177,614136
178,624698
179,535016
180,561600
181,597868
182,433984
183,611108
184,747931
185,711151
186,912957
187,813582
188,867713
189,940977
190,705206
191,726130
192,584077
193,612628
194,692531
195,631971
196,555521
197,435884
198,545471
199,570926
200,437792
201,595311
202,471032
203,465621
204,384318
205,484678
206,563176
207,411559
208,397834
209,444249
210,533873
211,383277
212,418935
213,462233
214,720392
215,476416
216,566138
217,466884
218,527641
219,446157
220,598170
221,398799
222,544767
223,446885
224,393943
225,393877
226,501963
227,487995
228,354778
229,408442
230,444795
231,531350
232,380199
233,396425
234,442443
235,431806
236,371008
237,387476
238,444510
239,538852
240,379513
241,381980
242,427122
243,434862
244,519215
245,458716
246,436145
247,454713
248,392716
249,400442
250,531606
251,462112
252,396285
253,386744
254,517937
255,428825
256,415029
257,380450
258,439938
259,509843
260,371824
261,402251
262,438067
263,451793
264,404906
265,363796
266,1225313
267,652960
268,655516
269,533239
270,392809
271,534546
272,444920
273,411246
274,362242
275,447010
276,529031
277,379867
278,366216
279,415884
280,427631
281,367434
282,352384
283,451387
284,429488
285,361980
286,370485
287,435627
288,443810
289,574181
290,423418
291,450514
292,422592
293,352962
294,351189
295,447864
296,429516
297,337955
298,385853
299,419821
300,421398
301,349566
302,341556
303,424556
304,397978
305,361295
306,288059
307,443297
308,406418
309,340464
310,342829
311,389986
312,406595
313,446955
314,362914
315,339088
316,444430
317,423114
318,345704
319,276597
320,469194
321,445718
322,346949
323,401445
324,433117
325,558623
326,381449
327,394838
328,456803
329,522910
330,378123
331,400554
332,440974
333,455809
334,386124
335,384379
336,448387
337,501249
338,362149
339,407896
340,443044
341,441930
342,375892
343,376886
344,426916
345,451470
346,384519
347,368670
348,423772
349,443213
350,377465
351,383655
352,390071
353,430542
354,332870
355,373574
356,429548
357,403585
