Frame Count,Frame Time (ns)
0,1704108
1,946366
2,11207869
3,888114
4,850423
5,617928
6,523970
7,335276
8,402573
9,376322
10,332995
11,242754
12,351217
13,351427
14,303170
15,331824
16,229067
17,328041
18,295160
19,538095
20,299699
21,336639
22,241177
23,418412
24,374203
25,333126
26,224517
27,229897
28,371456
29,344499
30,226109
31,214628
32,239596
33,311698
34,274749
35,396290
36,225208
37,323730
38,225101
39,364150
40,288628
41,346771
42,237707
43,345726
44,222754
45,370178
46,270559
47,484505
48,309776
49,333933
50,350830
51,310974
52,327648
53,218084
54,252397
55,363535
56,365283
57,226967
58,245861
59,297679
60,232990
61,392034
62,282423
63,328232
64,220594
65,235705
66,301000
67,290336
68,368791
69,239442
70,316952
71,222624
72,384901
73,271725
74,308390
75,221397
76,394671
77,315104
78,374147
79,381052
80,305437
81,253274
82,236657
83,358304
84,351428
85,248096
86,228945
87,212244
88,318140
89,295052
90,369987
91,221312
92,317255
93,216904
94,270475
95,375305
96,226453
97,313056
98,227550
99,246090
100,348036
101,354502
102,238509
103,244041
104,301686
105,230223
106,278738
107,357563
108,377708
109,309814
110,313037
111,393336
112,366011
113,236582
114,239423
115,340147
116,276746
117,376438
118,230517
119,312775
120,220683
121,369305
122,273228
123,327560
124,216717
125,222054
126,249099
127,342461
128,368507
129,227899
130,241793
131,296303
132,226411
133,281915
134,382438
135,223454
136,316946
137,243860
138,226743
139,518786
140,347971
141,336620
142,310891
143,252663
144,373504
145,293685
146,327037
147,236699
148,320081
149,263930
150,384822
151,396349
152,229001
153,246318
154,301238
155,369604
156,300216
157,338584
158,224475
159,248926
160,354498
161,394857
162,224686
163,232743
164,482042
165,316690
166,433117
167,364803
168,360581
169,241247
170,341733
171,365134
172,404528
173,236987
174,246715
175,321140
176,383497
177,294339
178,340978
179,224545
180,259489
181,405088
182,386222
183,336802
184,237203
185,321523
186,552936
187,377171
188,348269
189,351848
190,380716
191,421118
192,244107
193,338626
194,216684
195,384710
196,364024
197,244480
198,249398
199,333513
200,244867
201,381285
202,376877
203,239927
204,242129
205,334115
206,243981
207,580732
208,436019
209,383903
210,365970
211,402653
212,408265
213,259227
214,367355
215,324037
216,403003
217,380385
218,244817
219,246668
220,332566
221,396569
222,386689
223,251758
224,248372
225,505285
226,456145
227,432245
228,356397
229,340515
230,320371
231,404743
232,338178
233,247970
234,339876
235,372403
236,402028
237,249486
238,381953
239,231035
240,423008
241,363973
242,549875
243,336998
244,440553
245,419658
246,351866
247,347070
248,411494
249,405536
250,338603
251,377750
252,397260
253,427099
254,376853
255,353219
256,452432
257,509264
258,350018
259,366258
260,424015
261,403651
262,348847
263,364575
264,427706
265,415445
266,359868
267,261961
268,432034
269,393761
270,520498
271,343258
272,450183
273,525350
274,358822
275,363515
276,411708
277,407575
278,372301
279,342871
280,403782
281,433173
282,355995
283,431866
284,514219
285,436439
286,399252
287,348746
288,437087
289,410383
290,393331
291,352972
292,426954
293,426222
294,388806
295,491658
296,491979
297,485779
298,368755
299,391530
300,531695
301,416989
302,388965
303,361006
304,448737
305,402195
306,378720
307,504478
308,485471
309,431144
310,398123
311,365120
312,437535
313,441613
314,385913
315,406889
316,510841
317,454470
318,563022
319,442014
320,472805
321,533608
322,385238
323,390365
324,446907
325,433052
326,379503
327,360506
328,604231
329,511242
330,499803
331,396014
332,467711
333,523344
334,391624
335,397969
336,424113
337,545369
338,547450
339,491013
340,461772
341,545023
342,382391
343,479971
344,544702
345,392902
346,415646
347,471158
348,685122
349,489908
350,575292
351,553864
352,401449
353,575885
354,489204
355,408759
356,623826
357,542215
358,610818
359,420595
360,595913
361,566890
362,449263
363,571756
364,723252
365,504515
366,582159
367,567874
368,412389
369,558968
370,448275
371,417320
372,642263
373,534625
374,575642
375,422588
376,563759
377,447360
378,406199
379,502066
380,594653
381,557410
382,522612
383,543166
384,475496
385,529540
386,450505
387,573375
388,380726
389,622468
390,615208
391,459458
392,589923
393,563764
394,432847
395,577210
396,712373
397,509212
398,604917
399,605552
400,505541
401,563694
402,473649
403,444986
404,675470
405,560093
406,531690
407,551877
408,462984
409,532315
410,574359
411,483311
412,565164
413,629998
414,570473
415,429809
416,582845
417,556225
418,427295
419,456275
420,696670
421,484781
422,616450
423,587440
424,420940
425,594326
426,552152
427,420647
428,722622
429,557835
430,535674
431,569358
432,580573
433,444552
434,589316
435,724657
436,547189
437,617583
438,570892
439,546269
440,570888
441,552255
442,566382
443,576865
444,604884
445,522457
446,617634
447,575208
448,467981
449,696483
450,558594
451,556584
452,578003
453,585425
454,586521
455,687525
456,983338
457,834836
458,1050042
459,792032
460,747717
461,770974
462,709998
463,701284
464,544777
465,603676
466,582243
467,679427
468,545756
469,600737
470,518133
471,574439
472,560620
473,405191
474,452557
475,687861
476,467645
477,511168
478,584128
479,486735
480,468401
481,570505
482,396299
483,461454
484,702459
485,499831
486,571107
487,546969
488,417288
489,549848
490,453561
491,404781
492,373826
493,456224
494,685883
495,470449
496,583666
497,442037
498,438538
499,554484
500,434988
501,393989
502,369301
503,546022
504,578917
505,527272
506,577448
507,585971
508,401729
509,582337
510,552105
511,398235
512,475838
513,699310
514,475067
515,563023
516,495576
517,519836
518,563424
519,452749
520,438170
521,530277
522,625775
523,514294
524,599683
525,588855
