Frame Count,Frame Time (ns)
0,718877
1,459724
2,10672057
3,998609
4,688632
5,590950
6,487838
7,462411
8,382803
9,487581
10,346362
11,351974
12,393473
13,384006
14,373780
15,359938
16,550964
17,409931
18,353934
19,323408
20,370808
21,269496
22,341267
23,329096
24,312743
25,403861
26,364986
27,237128
28,320371
29,230130
30,373094
31,260100
32,237703
33,377176
34,309067
35,230294
36,397675
37,270131
38,347780
39,208959
40,236456
41,303520
42,276676
43,384748
44,321841
45,331414
46,320959
47,355286
48,275739
49,235626
50,317530
51,240917
52,393453
53,342303
54,330131
55,327197
56,237091
57,378515
58,368807
59,225601
60,220441
61,336738
62,229716
63,385074
64,455404
65,311041
66,239027
67,228521
68,379541
69,378902
70,242414
71,313859
72,239423
73,391457
74,263833
75,400666
76,290117
77,260978
78,387613
79,262424
80,337778
81,236615
82,237698
83,315039
84,261421
85,455726
86,283963
87,241504
88,243431
89,372614
90,352944
91,222204
92,230974
93,308218
94,218262
95,276952
96,455152
97,302886
98,231940
99,312879
100,233714
101,274889
102,366017
103,296821
104,248400
105,212981
106,228721
107,362280
108,350574
109,302751
110,324182
111,252566
112,390170
113,359481
114,240819
115,241882
116,323796
117,218178
118,283156
119,447968
120,307691
121,226328
122,311148
123,241108
124,380260
125,270994
126,348708
127,220086
128,243865
129,398179
130,379957
131,374778
132,238398
133,322779
134,228610
135,394695
136,365480
137,322942
138,320334
139,234068
140,372417
141,377848
142,252649
143,325592
144,235776
145,380414
146,459207
147,314609
148,237753
149,221873
150,391144
151,362704
152,217851
153,257823
154,331349
155,342448
156,366576
157,389875
158,313556
159,227298
160,355216
161,273046
162,417373
163,406745
164,334060
165,236891
166,380507
167,377489
168,244827
169,328336
170,236018
171,466503
172,363996
173,338520
174,243763
175,346735
176,269762
177,437172
178,421856
179,350010
180,364963
181,399714
182,398147
183,245852
184,448951
185,322032
186,411909
187,397974
188,331825
189,239223
190,330611
191,358230
192,402289
193,327966
194,325083
195,244752
196,395011
197,367929
198,338725
199,332898
200,354078
201,386367
202,399868
203,237473
204,339121
205,416817
206,416770
207,379382
208,268927
209,346745
210,231679
211,479566
212,389404
213,383600
214,336360
215,259177
216,410127
217,465472
218,334083
219,373215
220,335818
221,409264
222,399392
223,341706
224,340129
225,338123
226,387547
227,408196
228,258976
229,426894
230,337301
231,413099
232,401688
233,335874
234,261384
235,469274
236,367916
237,413468
238,343661
239,343423
240,490837
241,399686
242,364454
243,346889
244,425061
245,519155
246,354587
247,386147
248,409768
249,532438
250,455665
251,373649
252,434391
253,409175
254,466731
255,367599
256,434559
257,420909
258,363017
259,451989
260,471976
261,412693
262,380558
263,459682
264,413687
265,435436
266,360605
267,488322
268,513903
269,426447
270,395595
271,453286
272,495782
273,421427
274,409586
275,423694
276,434121
277,503256
278,383260
279,513884
280,525117
281,442896
282,400251
283,471812
284,492801
285,432194
286,371531
287,456986
288,514103
289,437489
290,498987
291,455968
292,443493
293,441893
294,466424
295,475782
296,424870
297,431793
298,491541
299,460312
300,434312
301,656516
302,470413
303,487329
304,521899
305,483718
306,388755
307,552172
308,530759
309,493021
310,395991
311,647578
312,520779
313,450328
314,627647
315,528957
316,436183
317,638611
318,535544
319,429479
320,650386
321,517527
322,455269
323,633241
324,525136
325,441586
326,645614
327,517677
328,435386
329,632243
330,519165
331,472507
332,637024
333,546275
334,536823
335,549877
336,555037
337,505999
338,567782
339,576049
340,590619
341,559730
342,543004
343,534089
344,572092
345,560154
346,590017
347,522090
348,579664
349,533716
350,542122
351,658523
352,522767
353,589583
354,668380
355,545612
356,654356
357,572676
358,556534
359,649569
360,563966
361,600314
362,541642
363,494215
364,598540
365,511723
366,469017
367,608486
368,531943
369,628417
370,513170
371,565669
372,629835
373,510040
374,556119
375,655205
376,512069
377,475782
378,637995
379,488164
380,460046
381,661848
382,505635
383,589634
384,657295
385,588603
386,645614
387,587834
388,634971
389,566303
390,609770
391,630843
392,591216
393,668338
394,532233
395,579707
396,662016
397,535965
398,684545
399,537327
400,553189
401,629691
402,561558
403,623733
404,573390
405,686528
406,518036
407,586910
408,632285
409,521199
410,657640
411,554267
412,446232
413,635327
414,521260
415,445826
416,633605
417,537687
418,537541
419,560169
420,549989
421,618886
422,556245
423,595251
424,645408
425,570404
426,697413
427,532904
428,593086
429,651412
430,530725
431,664401
432,564825
433,638793
434,572149
435,603504
436,629130
437,565436
438,714562
439,541442
440,609942
441,689276
442,639521
443,686491
444,651944
445,639824
446,580509
447,700296
448,505570
449,577630
450,678107
451,550758
452,685791
453,597594
454,658075
455,657444
456,706025
457,571440
458,607418
459,654641
460,530851
461,691464
462,662814
463,665581
464,598391
465,697758
466,633712
467,589882
468,651748
469,532461
470,634715
471,579394
472,527931
473,647214
474,574272
475,639189
476,547880
477,567591
478,537462
479,547600
480,640663
481,538913
482,570805
483,662082
484,528085
485,655466
486,569564
487,564684
488,664830
489,564931
490,653325
491,573413
492,696270
493,535796
494,588407
495,655816
496,551934
497,701219
498,656367
499,648748
500,595056
501,618937
502,606863
503,573049
504,626588
505,541330
506,703044
507,563248
508,557225
509,646821
510,569532
511,619987
512,546462
513,582623
514,625847
515,557383
516,691483
517,531845
518,700062
519,582823
520,571826
521,663332
522,579376
523,652821
524,634067
525,641536
526,563891
527,601689
528,661098
529,549480
530,695700
531,590708
532,668838
533,663426
534,600906
535,642670
536,564567
537,646467
538,535372
539,661797
540,567269
541,552727
542,678508
543,561419
544,631869
545,575680
546,589555
547,637155
548,568160
549,672532
550,537463
551,685478
552,643803
553,631193
554,581083
555,620486
556,603029
557,575023
558,672225
559,563084
560,678966
561,589863
562,565664
563,649957
564,600057
565,661284
566,669649
567,678784
568,532050
569,604031
570,622978
571,559935
572,687700
573,665688
574,651678
575,579446
576,601148
577,620313
578,575013
579,686090
580,567559
581,681672
582,671842
583,554906
584,677743
585,578577
586,673321
587,685026
588,710162
589,569891
590,714595
591,675448
592,656572
593,706934
594,728222
595,659679
596,695775
597,713219
598,657780
599,613824
600,816779
601,537341
602,730797
603,660817
604,659432
605,596814
606,600085
607,641368
608,656483
609,699619
610,542039
611,690498
612,674781
613,658387
614,578167
615,613269
616,608949
617,580294
618,671748
619,521713
620,699680
621,658228
622,550259
623,675275
624,571715
625,659763
626,552363
627,802297
628,880143
629,802190
630,804845
631,822181
632,719208
633,731614
634,703551
635,674959
636,670418
637,700440
638,569139
639,696152
640,643047
641,653750
642,582049
643,688002
644,624176
645,581097
646,661513
647,503153
648,689696
649,557742
650,561097
651,646527
652,517621
653,570520
654,534528
655,571444
656,579161
657,550964
658,590983
659,507352
660,541115
661,531491
662,506662
663,567684
664,638280
665,542193
666,570913
667,586550
668,524703
669,564269
670,639614
671,529993
672,663602
673,570498
674,549046
675,631487
676,573003
677,586360
678,598830
679,573959
680,499552
681,537598
682,536198
683,481030
684,540154
685,439137
686,504782
687,475279
688,535125
689,425864
690,488528
691,459272
692,470939
693,514696
694,497130
695,391844
696,505803
697,534369
698,396752
699,406923
700,617532
701,508052
702,461455
703,661014
704,531761
705,438576
706,592863
707,522603
708,444002
709,638639
710,528202
711,428784
712,648720
713,518568
714,435777
715,643691
716,499962
717,445430
718,622595
719,521680
720,430650
721,539785
722,534808
723,497270
724,525379
725,551808
726,422481
727,632429
728,506909
729,432787
730,627344
731,509405
732,431060
733,597462
734,432791
735,427538
736,569802
737,513847
738,475465
739,431439
740,617048
741,581251
742,623155
743,548425
744,578619
745,490230
746,585333
747,531789
748,521470
749,548906
750,565020
751,616684
752,558414
753,660789
754,521115
755,585874
756,572065
757,548701
758,572429
759,653503
760,489643
761,672536
762,539417
763,533898
764,561629
765,542207
766,496403
767,567521
768,537313
769,498745
770,576488
771,568444
772,528290
773,668338
774,554276
775,619968
776,562417
777,613665
778,590045
779,568948
780,680453
781,520402
782,563742
783,567292
784,515009
785,572840
786,643351
787,498474
788,482477
789,635466
790,485524
791,648963
792,543611
793,436897
794,651515
795,534514
796,464170
797,639399
798,521502
799,525827
800,551118
801,527483
802,489857
803,538111
804,543863
805,426507
806,648670
807,531351
808,465047
809,642367
810,524899
811,529876
812,510650
813,555526
814,495130
815,550614
816,558353
817,535227
818,586159
819,570441
820,514159
821,617481
822,573735
823,590768
824,558479
825,577085
826,508369
827,571817
828,540019
829,516202
830,549004
831,565552
832,570684
833,543518
834,563965
835,504287
836,551687
837,545253
838,505990
839,526224
840,529480
841,489176
842,427776
843,540458
844,482346
845,398319
846,539903
847,521036
848,495232
849,401249
850,465864
851,632219
852,476771
853,441109
854,645077
855,541591
856,452609
857,639063
858,531985
859,536674
860,545193
861,540709
862,615965
863,535853
864,485715
865,609224
866,538923
867,552093
868,511873
869,574762
870,578975
871,487707
872,550325
873,545426
874,497532
875,545314
876,526410
877,496664
878,528916
879,531981
880,512610
881,532797
882,473888
883,553156
884,517658
885,470044
886,559403
887,547148
888,535582
889,578876
890,514919
891,458721
892,523457
893,551701
894,538927
895,469186
896,562510
897,540611
898,509176
899,544022
