Frame Count,Frame Time (ns)
0,728497
1,421739
2,11724060
3,964744
4,662693
5,549774
6,492195
7,341402
8,393304
9,467175
10,341752
11,339602
12,366955
13,380638
14,205031
15,238155
16,248731
17,379910
18,457415
19,338277
20,226883
21,350561
22,361435
23,270340
24,324421
25,229510
26,327276
27,359051
28,364043
29,311321
30,231577
31,231605
32,381399
33,353308
34,233947
35,251330
36,383786
37,318346
38,287551
39,389922
40,306847
41,242223
42,259820
43,351162
44,472656
45,312575
46,228745
47,259153
48,401016
49,379485
50,331764
51,235570
52,249599
53,453817
54,341776
55,319336
56,235892
57,238645
58,358883
59,365350
60,223300
61,257156
62,384711
63,300535
64,294405
65,366637
66,211222
67,257777
68,319340
69,245003
70,378091
71,347239
72,311405
73,311013
74,230974
75,371759
76,261000
77,333313
78,229389
79,244625
80,336845
81,451836
82,372571
83,242484
84,325835
85,231894
86,393864
87,368336
88,225288
89,240431
90,413719
91,299695
92,305648
93,380820
94,326180
95,238915
96,226440
97,346301
98,428579
99,225171
100,334792
101,221565
102,374811
103,255622
104,331545
105,221854
106,243403
107,417802
108,349427
109,371834
110,221929
111,230369
112,313742
113,262228
114,366838
115,221649
116,252505
117,389829
118,304145
119,281664
120,389950
121,228069
122,343628
123,223911
124,396934
125,421706
126,232575
127,345830
128,233784
129,407501
130,343554
131,234707
132,239017
133,454340
134,372618
135,366465
136,323772
137,244205
138,230219
139,469942
140,361836
141,344841
142,233434
143,371895
144,375921
145,484511
146,342872
147,335029
148,275290
149,400778
150,309492
151,233876
152,433015
153,393598
154,394886
155,264570
156,367170
157,431382
158,391610
159,421529
160,334232
161,331955
162,382383
163,388238
164,358758
165,333406
166,334722
167,302270
168,495442
169,306473
170,360591
171,329763
172,306604
173,478614
174,313990
175,363996
176,237217
177,405691
178,368410
179,428051
180,319951
181,257968
182,395361
183,385084
184,332118
185,346260
186,354372
187,400974
188,397027
189,422164
190,362578
191,422504
192,390207
193,474275
194,358300
195,432185
196,407272
197,454042
198,356505
199,417941
200,402784
201,461166
202,381151
203,512041
204,403890
205,438143
206,354503
207,424044
208,402770
209,460186
210,332376
211,436991
212,402477
213,538965
214,390860
215,428411
216,497074
217,380055
218,366036
219,394885
220,526065
221,447039
222,370375
223,510236
224,483591
225,365336
226,395170
227,506456
228,411219
229,414676
230,429358
231,502570
232,431919
233,495228
234,456654
235,431714
236,524927
237,453682
238,392059
239,549872
240,506144
241,462271
242,581568
243,548687
244,558111
245,495418
246,665492
247,518175
248,458292
249,612779
250,536217
251,544161
252,526181
253,656078
254,523569
255,666434
256,552312
257,622114
258,547722
259,705726
260,498735
261,688968
262,548892
263,648683
264,571365
265,669631
266,546896
267,699227
268,665446
269,652191
270,594472
271,711031
272,735556
273,682507
274,680435
275,554915
276,690983
277,784714
278,561577
279,748997
280,754259
281,668240
282,724233
283,804388
284,667890
285,726052
286,824714
287,663388
288,730685
289,806968
290,663733
291,710237
292,677683
293,633162
294,674006
295,694581
296,705097
297,776657
298,710000
299,716871
300,777861
301,606793
302,788018
303,789758
304,631417
305,808125
306,799610
307,776400
308,727191
309,729627
310,823888
311,801672
312,717394
313,853443
314,780585
315,812464
316,712818
317,746221
318,779032
319,715420
320,770331
321,692295
322,665758
323,681485
324,742246
325,554612
326,692327
327,673451
328,628702
329,573964
330,661527
331,646728
332,685707
333,707555
334,686224
335,734250
336,787233
337,674016
338,703837
339,692406
340,716181
341,683963
342,702735
343,578895
344,684666
345,772832
346,571323
347,775864
348,583761
349,623458
350,577845
351,699451
352,692234
353,607348
354,687294
355,623533
356,690032
357,706841
358,613805
359,693535
360,571677
361,677921
362,661036
363,682413
364,647461
365,694217
366,712439
367,651571
368,693862
369,663071
370,624054
371,654314
372,658480
373,541204
374,685576
375,668898
376,672411
377,673605
378,682670
379,649504
380,569285
381,694739
382,662110
383,679992
384,682157
385,711110
386,615443
387,689192
388,651356
389,647242
390,667671
391,571025
392,769454
393,615610
394,653843
395,748903
396,645567
397,663818
398,784160
399,700268
400,658149
401,724606
402,581209
403,631710
404,625515
405,727392
406,655537
407,599194
408,686281
409,625921
410,642586
411,575055
412,639973
413,581111
414,650344
415,534845
416,664475
417,630349
418,537556
419,571561
420,673036
421,614678
422,661611
423,662604
424,539464
425,638788
426,561624
427,619492
428,583196
429,691390
430,631926
431,678489
432,687484
433,560256
434,715005
435,676222
436,558484
437,705493
438,607087
439,663580
440,766776
441,660444
442,646687
443,625641
444,693550
445,675920
446,590059
447,653255
448,542795
449,686888
450,645534
451,619600
452,568991
453,698126
454,520802
455,694711
456,675354
457,531458
458,647074
459,659562
460,642968
461,696722
462,695882
463,670726
464,699134
465,677193
466,623001
467,581097
468,671020
469,624106
470,699092
471,695425
472,722694
473,593371
474,701891
475,617220
476,705325
477,582477
478,610679
479,552461
480,639091
481,501843
482,677254
483,548173
484,637607
485,536562
486,671837
487,501562
488,639217
489,541847
490,517886
491,554052
492,632238
493,510571
494,659996
495,567614
496,644680
497,594757
498,677725
499,624107
500,666663
501,670022
