Frame Count,Frame Time (ns)
0,913621
1,466895
2,10367342
3,1022682
4,797759
5,691193
6,614943
7,447454
8,470907
9,401006
10,353980
11,341146
12,382784
13,447212
14,318674
15,235929
16,339154
17,372563
18,277735
19,345055
20,219946
21,254978
22,469297
23,347193
24,370146
25,308326
26,229949
27,388742
28,250279
29,334932
30,230462
31,310835
32,315445
33,378194
34,377512
35,227513
36,226892
37,325671
38,251185
39,398259
40,219928
41,238239
42,390985
43,291703
44,295561
45,377886
46,213470
47,321066
48,205409
49,249743
50,372977
51,260917
52,405144
53,300348
54,233904
55,383213
56,251232
57,346768
58,225381
59,223874
60,231311
61,357264
62,444730
63,317652
64,249469
65,223011
66,377704
67,345485
68,233555
69,228409
70,219045
71,302662
72,267033
73,441534
74,300394
75,239527
76,238877
77,377694
78,371900
79,230844
80,247975
81,305340
82,225316
83,432973
84,347808
85,246170
86,221327
87,328820
88,226421
89,382695
90,382159
91,244019
92,236829
93,367029
94,222988
95,369273
96,360628
97,224620
98,250676
99,321486
100,249206
101,394993
102,355725
103,298524
104,335659
105,230700
106,394153
107,362583
108,231292
109,224723
110,326053
111,212267
112,451537
113,347085
114,233191
115,232347
116,321579
117,223758
118,407100
119,356247
120,234735
121,241136
122,391765
123,327379
124,275631
125,384594
126,209841
127,337316
128,215290
129,390785
130,263739
131,411546
132,311489
133,251148
134,385975
135,358086
136,246216
137,247821
138,332940
139,234637
140,483349
141,362233
142,357270
143,234987
144,335011
145,371167
146,293401
147,445975
148,296574
149,267476
150,403227
151,386049
152,353994
153,231758
154,414415
155,369035
156,404104
157,336830
158,242353
159,405825
160,384944
161,329282
162,328764
163,332991
164,400461
165,399272
166,242545
167,352982
168,318076
169,391093
170,380806
171,337853
172,247826
173,333182
174,391839
175,450496
176,340111
177,253639
178,400895
179,375898
180,251399
181,421268
182,331405
183,428084
184,401160
185,337927
186,238430
187,439537
188,406073
189,400078
190,359019
191,341123
192,282601
193,482799
194,319317
195,367766
196,347323
197,419938
198,444287
199,357554
200,260800
201,420946
202,399784
203,482346
204,386632
205,433016
206,505225
207,460938
208,384118
209,438413
210,425751
211,366814
212,439262
213,488094
214,430207
215,377288
216,473669
217,494672
218,428322
219,397605
220,459103
221,434317
222,497732
223,367678
224,467240
225,401212
226,429302
227,357676
228,363096
229,499486
230,413323
231,396159
232,371326
233,504590
234,490175
235,376505
236,403307
237,513828
238,493343
239,390729
240,403778
241,498679
242,503835
243,410603
244,397022
245,500933
246,525062
247,415123
248,425625
249,618233
250,558657
251,437228
252,602292
253,556996
254,434004
255,623929
256,525612
257,428989
258,607536
259,546084
260,447977
261,650082
262,571403
263,599487
264,573907
265,575526
266,520373
267,568869
268,533977
269,526438
270,560864
271,643761
272,510012
273,578423
274,628062
275,507376
276,461418
277,641662
278,503363
279,492885
280,648123
281,502337
282,672327
283,561689
284,557365
285,657883
286,545985
287,651123
288,574444
289,699413
290,568295
291,618493
292,653591
293,518764
294,668072
295,582963
296,657482
297,651575
298,705968
299,566989
300,600915
301,669210
302,564544
303,673909
304,676325
305,647078
306,587754
307,689934
308,604755
309,685665
310,590824
311,583723
312,656884
313,611221
314,644624
315,660966
316,679856
317,595261
318,692686
319,715052
320,693610
321,714572
322,813998
323,604662
324,853635
325,820838
326,776923
327,831638
328,859517
329,730835
330,802004
331,731203
332,786707
333,700804
334,696652
335,691403
336,639795
337,571729
338,660897
339,523685
340,636581
341,559254
342,550058
343,628394
344,569937
345,598638
346,555634
347,596320
348,558503
349,601629
350,680991
351,609611
352,620845
353,697641
354,576572
355,711277
356,691039
357,658718
358,687065
359,684853
360,594029
361,672588
362,653525
363,642441
364,591869
365,634141
366,615288
367,583369
368,680445
369,504390
370,654650
371,541292
372,552527
373,633204
374,544428
375,627899
376,571687
377,601937
378,615219
379,570260
380,666841
381,537742
382,596978
383,638018
384,545985
385,706118
386,620897
387,686957
388,684130
389,681233
390,650283
391,604134
392,706696
393,539067
394,649178
395,571197
396,639287
397,681784
398,681560
