Frame Count,Frame Time (ns)
0,741168
1,498871
2,10864673
3,1228525
4,784938
5,501035
6,608557
7,469274
8,383175
9,500018
10,493464
11,373817
12,452008
13,403311
14,430500
15,465136
16,366838
17,525165
18,472353
19,369212
20,358380
21,491523
22,463223
23,361291
24,340433
25,512843
26,407179
27,351218
28,436551
29,361482
30,403852
31,331199
32,375972
33,379551
34,400928
35,425574
36,336756
37,423166
38,421492
39,523956
40,365527
41,512834
42,381651
43,374694
44,406218
45,416113
46,382793
47,442817
48,327934
49,406955
50,376360
51,438982
52,326431
53,409506
54,508313
55,344398
56,352105
57,461656
58,433804
59,343837
60,466041
61,402084
62,410925
63,435851
64,345009
65,402943
66,520140
67,399962
68,404109
69,519632
70,500536
71,477243
72,361118
73,418552
74,489265
75,426838
76,468388
77,425121
78,417335
79,530748
80,376565
81,574542
82,443955
83,451187
84,413720
85,576259
86,444128
87,505239
88,443563
89,539636
90,480397
91,493021
92,482608
93,528491
94,492017
95,518969
96,507711
97,605086
98,410720
99,644932
100,508934
101,490534
102,531406
103,621367
104,530371
105,542426
106,605408
107,611435
108,556543
109,679587
110,610302
111,694590
112,784499
113,765638
114,833560
115,919425
116,806940
117,914596
118,1094813
119,998381
120,1126970
121,981711
122,958553
123,971797
124,1056613
125,1137878
126,1012559
127,995642
128,1059725
129,1014844
130,1154370
131,984446
132,1117476
133,1120388
134,957372
135,1134011
136,1127749
137,932012
138,1133143
139,1024278
140,1513281
141,1181919
142,1162054
143,1112994
144,1042925
145,2150968
146,1225600
147,1429054
148,1049834
149,1168520
150,1110852
151,1174015
152,1057742
153,1280394
154,1035055
155,1208114
156,1303520
157,1147423
158,1005976
159,1073511
160,1091621
161,1241943
162,1195046
163,1055839
164,979332
165,1195480
166,1367626
167,1235285
168,1332528
169,1261196
170,1212738
171,1656726
172,1023135
173,1253367
174,1105482
175,1016878
176,1286832
177,1238457
178,1092452
179,1429045
180,1108506
181,1208688
182,1187918
183,1362503
184,1184288
185,1124913
186,1149290
187,1121512
188,1229864
189,1175569
190,1251441
191,1070058
192,1137085
193,1168818
194,1041125
195,1081899
196,1154220
197,1220142
198,1132163
199,1173997
200,1122660
201,1095065
202,1176497
203,1093790
204,1084717
205,1336266
206,1311017
207,1293989
208,1205683
209,1142590
210,1155298
211,1133838
212,1031872
213,906894
214,1060444
215,1128771
216,906269
217,1055619
218,1116692
219,1161970
220,906306
221,1075648
222,1032582
223,990893
224,1089700
225,1208464
226,1093040
227,1011770
228,1133577
229,1064544
230,1184256
231,1102081
232,1071636
233,1113128
234,1079142
235,1034817
236,861072
237,1179646
238,891387
239,1035446
240,1067110
241,1035227
242,861412
243,974671
244,981590
245,903619
246,1112312
247,1061059
248,1100504
249,1090264
250,1089494
251,1215523
252,1245003
253,1083625
254,952208
255,891853
256,1016052
257,1111533
258,855370
259,863479
260,797604
261,966792
262,840329
263,1030007
264,882346
265,815370
266,1047726
267,969274
268,1029484
269,965714
270,1057910
271,912157
272,996785
273,1116823
274,908760
275,1010142
276,896350
277,909166
278,922443
279,981026
280,782466
281,764574
282,812239
283,826879
284,882191
285,942984
286,801174
287,862383
288,972927
289,915627
290,997415
291,903624
292,746734
293,895735
294,1163924
295,838090
296,1054817
297,845857
298,819554
299,1272602
300,1809323
301,927683
302,976649
303,894857
304,792557
305,803226
306,821766
307,917900
308,950529
309,1180365
310,1087301
311,913019
312,918712
313,1005057
314,1077616
315,893010
316,924814
317,897690
318,933341
319,995591
320,969698
321,917344
322,1155079
323,1302498
324,959948
325,1077383
326,932581
327,855510
328,861548
329,899172
330,1011103
331,846371
332,972610
333,816756
334,887309
335,919187
336,863903
337,1049070
338,774539
339,973272
340,986726
341,859630
342,977196
343,943031
344,838076
345,854601
346,932278
347,855548
348,876742
349,837460
350,890295
351,819037
352,818001
353,854606
354,1000942
355,999780
356,997886
357,1071504
358,1043284
359,1423330
360,1021983
361,977106
362,900461
363,1050809
364,959794
365,978604
366,1060280
367,954769
368,985682
369,856131
370,963404
371,745409
372,1395426
373,891988
374,1001679
375,1155392
376,978180
377,1064628
378,1009956
379,998315
380,976771
381,920115
382,854400
383,1028803
384,1098988
385,1070581
386,1027208
387,859868
388,992367
389,1012209
390,994229
391,1014812
392,900092
393,1066037
394,1011831
395,1023863
396,985010
397,986797
398,1059053
399,1119688
400,836895
401,942695
402,1037929
403,1171669
404,1195970
405,1023643
406,979462
407,988490
408,998008
409,989983
410,919603
411,985262
412,945546
413,842690
414,1152961
415,1056231
416,1103294
417,1000321
418,930911
419,1076585
420,988798
421,1031215
422,868377
423,1256512
424,933444
425,1017374
426,818202
427,940955
428,963228
429,923353
430,964310
431,980330
432,785348
433,1049382
434,950444
435,942253
436,1027371
437,989629
438,1125277
439,1106667
440,1073259
441,1190092
442,1012083
443,1017303
444,875380
445,962528
446,1052097
447,986531
448,990026
449,1094169
450,943171
451,810612
452,907286
453,987394
454,968625
455,911350
456,992964
457,1162394
458,1058689
459,973813
460,982510
461,929786
462,1016571
463,979538
464,1035857
465,1083499
466,903675
467,1015311
468,982500
469,991943
470,913178
471,931238
472,737194
473,865834
474,853854
475,937205
476,919038
477,884043
478,763216
479,838057
480,896845
481,760063
482,1268199
483,1074640
484,975894
485,838668
486,1110744
487,879420
488,757375
489,898431
490,879168
491,862550
492,769286
493,996104
494,940573
495,891783
496,845578
497,815706
498,947211
499,915977
500,947165
501,884780
502,748516
503,1011593
504,957938
505,881772
506,918651
507,784183
508,869889
509,773103
510,869278
