Frame No.,newgc-csharp-1500,newgc-csharp-inverse-1500,newgc-frp-1500,newgc-frp-inverse-1500
0,718877,728497,913621,741168
1,459724,421739,466895,498871
2,10672057,11724060,10367342,10864673
3,998609,964744,1022682,1228525
4,688632,662693,797759,784938
5,590950,549774,691193,501035
6,487838,492195,614943,608557
7,462411,341402,447454,469274
8,382803,393304,470907,383175
9,487581,467175,401006,500018
10,346362,341752,353980,493464
11,351974,339602,341146,373817
12,393473,366955,382784,452008
13,384006,380638,447212,403311
14,373780,205031,318674,430500
15,359938,238155,235929,465136
16,550964,248731,339154,366838
17,409931,379910,372563,525165
18,353934,457415,277735,472353
19,323408,338277,345055,369212
20,370808,226883,219946,358380
21,269496,350561,254978,491523
22,341267,361435,469297,463223
23,329096,270340,347193,361291
24,312743,324421,370146,340433
25,403861,229510,308326,512843
26,364986,327276,229949,407179
27,237128,359051,388742,351218
28,320371,364043,250279,436551
29,230130,311321,334932,361482
30,373094,231577,230462,403852
31,260100,231605,310835,331199
32,237703,381399,315445,375972
33,377176,353308,378194,379551
34,309067,233947,377512,400928
35,230294,251330,227513,425574
36,397675,383786,226892,336756
37,270131,318346,325671,423166
38,347780,287551,251185,421492
39,208959,389922,398259,523956
40,236456,306847,219928,365527
41,303520,242223,238239,512834
42,276676,259820,390985,381651
43,384748,351162,291703,374694
44,321841,472656,295561,406218
45,331414,312575,377886,416113
46,320959,228745,213470,382793
47,355286,259153,321066,442817
48,275739,401016,205409,327934
49,235626,379485,249743,406955
50,317530,331764,372977,376360
51,240917,235570,260917,438982
52,393453,249599,405144,326431
53,342303,453817,300348,409506
54,330131,341776,233904,508313
55,327197,319336,383213,344398
56,237091,235892,251232,352105
57,378515,238645,346768,461656
58,368807,358883,225381,433804
59,225601,365350,223874,343837
60,220441,223300,231311,466041
61,336738,257156,357264,402084
62,229716,384711,444730,410925
63,385074,300535,317652,435851
64,455404,294405,249469,345009
65,311041,366637,223011,402943
66,239027,211222,377704,520140
67,228521,257777,345485,399962
68,379541,319340,233555,404109
69,378902,245003,228409,519632
70,242414,378091,219045,500536
71,313859,347239,302662,477243
72,239423,311405,267033,361118
73,391457,311013,441534,418552
74,263833,230974,300394,489265
75,400666,371759,239527,426838
76,290117,261000,238877,468388
77,260978,333313,377694,425121
78,387613,229389,371900,417335
79,262424,244625,230844,530748
80,337778,336845,247975,376565
81,236615,451836,305340,574542
82,237698,372571,225316,443955
83,315039,242484,432973,451187
84,261421,325835,347808,413720
85,455726,231894,246170,576259
86,283963,393864,221327,444128
87,241504,368336,328820,505239
88,243431,225288,226421,443563
89,372614,240431,382695,539636
90,352944,413719,382159,480397
91,222204,299695,244019,493021
92,230974,305648,236829,482608
93,308218,380820,367029,528491
