Frame Count,Frame Time (ns)
0,164849
1,312188
2,7830263
3,515819
4,203734
5,156755
6,170890
7,170493
8,161961
9,156563
10,152546
11,180071
12,171072
13,161061
14,170102
15,169831
16,143043
17,190797
18,150190
19,168487
20,160510
21,150699
22,190237
23,157543
24,166215
25,165656
26,172808
27,140016
28,189873
29,171292
30,208507
31,200603
32,157893
33,162758
34,180156
35,131823
36,201168
37,158210
38,166015
39,179782
40,167629
41,163374
42,146971
43,192892
44,167606
45,158350
46,164130
47,164420
48,144223
49,185464
50,195500
51,171030
52,164513
53,168058
54,176274
55,132368
56,189482
57,162474
58,161513
59,164415
60,172681
61,149761
62,179605
63,160048
64,170368
65,163263
66,146038
67,186188
68,163319
69,163137
70,167774
71,165520
72,145249
73,186641
74,162800
75,172555
76,158462
77,169435
78,142138
79,186832
80,166113
81,165954
82,163593
83,161517
84,149705
85,190942
86,159362
87,160113
88,166546
89,168889
90,144004
91,187862
92,168082
93,158252
94,174590
95,160113
96,142488
97,183472
98,165880
99,172807
100,176978
101,316858
102,178341
103,155859
104,170438
105,183029
106,178910
107,180963
108,128604
109,192579
110,164047
111,163132
112,166319
113,140701
114,187764
115,167191
116,160711
117,163374
118,166631
119,146738
120,188026
121,160151
122,166039
123,171067
124,160337
125,151557
126,184373
127,160057
128,165264
129,164004
130,296817
131,154413
132,167648
133,167568
134,142100
135,185572
136,164056
137,169953
138,160632
139,164330
140,153116
141,183785
142,164331
143,174637
144,150578
145,165320
146,150414
147,194273
148,155793
149,164872
150,164097
151,178990
152,149966
153,181448
154,166990
155,168669
156,158331
157,165278
158,148660
159,192220
160,156507
161,170461
162,168549
163,156456
164,152519
165,192897
166,153792
167,163085
168,167569
169,165679
170,145404
171,198592
172,151194
173,165576
174,164415
175,149714
176,187214
177,165246
178,160052
179,165585
180,171558
181,144662
182,186132
183,161774
184,173820
185,155327
186,172612
187,143678
188,201308
189,146439
190,168488
191,168982
192,157380
193,152215
194,196876
195,155127
196,159941
197,170848
198,166426
199,139413
200,188455
201,160823
202,167713
203,161616
204,178583
205,134486
206,193391
207,158318
208,166743
209,161658
210,146869
211,184159
212,173176
213,168912
214,163291
215,167018
216,168707
217,143043
218,188880
219,163743
220,162908
221,164363
222,146836
223,189990
224,159423
225,169430
226,170527
227,157482
228,145539
229,189967
230,159283
231,167354
232,162283
233,168496
234,150993
235,180538
236,162105
237,181546
238,167629
239,167503
240,171254
241,138961
242,184131
243,165857
244,168124
245,160286
246,147213
247,194081
248,152588
249,166523
250,174053
251,156969
252,151166
253,191040
254,201812
255,167200
256,164079
257,162278
258,169854
259,144980
260,184639
261,170699
262,165936
263,164728
264,167070
265,150349
266,183104
267,165208
268,168893
269,184033
270,167228
271,161569
272,148152
273,185838
274,163407
275,169094
276,161690
277,146434
278,194819
279,156978
280,162110
281,168776
282,167881
283,141952
284,192957
285,156040
286,170699
287,160566
288,172957
289,146067
290,186659
291,177487
292,186197
293,151720
294,169864
295,159666
296,149892
297,186874
298,160710
299,179465
300,150205
301,173947
302,140351
303,189822
304,165722
305,161653
306,165040
307,163612
308,152192
309,181956
310,168432
311,189378
312,167466
313,170447
314,141886
315,182646
316,164597
317,170858
318,168945
319,158933
320,145011
321,191824
322,157869
323,166883
324,171459
325,166099
326,141014
327,190853
328,158299
329,162138
330,166099
331,171095
332,141060
333,191553
334,157641
335,166622
336,163090
337,165152
338,154268
339,179601
340,169663
341,169019
342,154212
343,149322
344,189024
345,165002
346,159913
347,168688
348,162483
349,153391
350,178858
351,172308
352,159063
353,162091
354,166598
355,151034
356,198089
357,165777
358,166598
359,168689
360,170433
361,138350
362,183202
363,197445
364,186841
365,225283
366,178350
367,165627
368,163137
369,216121
370,172225
371,196409
372,171100
373,143239
374,188889
375,169519
376,157981
377,168791
378,159525
379,281383
380,184588
381,167102
382,164116
383,152603
384,181167
385,160538
386,174818
387,155654
388,281393
389,188917
390,165259
391,164849
392,164223
393,150363
394,185414
395,163272
396,164279
397,174296
398,243049
399,176087
400,154683
401,175145
402,140500
403,191213
404,156326
405,171011
406,171898
407,165371
408,152098
409,183781
410,220855
411,164849
412,169309
413,158130
414,170913
415,145231
416,187159
417,160184
418,168198
419,170755
420,158075
421,148912
422,186724
423,168361
424,165138
425,159745
426,173797
427,147479
428,194646
429,163855
430,158751
431,164470
432,169654
433,147447
434,190951
435,150942
436,178854
437,156315
438,160729
439,145469
440,194035
441,168409
442,159377
443,169701
444,159120
445,141750
446,189627
447,159185
448,172421
449,156988
450,151996
451,181999
452,190975
453,170308
454,169994
455,160459
456,169659
457,141107
458,188889
459,160020
460,164522
461,166155
462,168791
463,143239
464,187120
465,172607
466,217301
467,169257
468,168721
469,159484
470,169266
471,149677
472,178933
473,164462
474,167578
475,168329
476,169365
477,140827
478,230023
479,166953
480,163487
481,172448
482,166528
483,164069
484,149131
485,187634
486,158835
487,173582
488,161046
489,233975
490,198014
491,220025
492,179997
493,188427
494,193965
495,199773
496,341953
497,233746
498,204523
499,166444
500,153260
501,187074
502,163738
503,237157
504,283805
505,209374
506,247378
507,168418
508,165940
509,154291
510,186006
511,205119
512,165017
513,173530
514,217244
515,270317
516,168590
517,162091
518,175906
519,164075
520,156498
521,148632
522,182680
523,169019
524,170238
525,163337
526,166402
527,145189
528,200123
529,163701
530,165576
531,165543
532,162282
533,249837
534,209193
535,164783
536,167802
537,150055
538,185371
539,167508
540,168889
541,157944
542,240874
543,167153
544,165432
545,145674
546,187252
547,160962
548,165922
549,168418
550,164466
551,149589
552,185105
553,163949
554,167372
555,162250
556,192169
557,175406
558,141513
559,183542
560,162600
561,170559
562,161513
563,169192
564,150633
565,186295
566,161028
567,161322
568,169477
569,162213
570,219036
571,149215
572,184495
573,164125
574,170960
575,159526
576,168894
577,141391
578,188362
579,161765
580,166146
581,163883
582,163197
583,149766
584,187727
585,196401
586,169029
587,173003
588,165917
589,164835
590,148044
591,183300
592,173167
593,159110
594,164116
595,223543
596,189328
597,183622
598,169532
599,144503
600,190923
601,235733
602,185385
603,171100
604,251540
605,189048
606,281290
607,156811
608,207457
609,171441
610,138504
611,187270
612,164224
613,161887
614,294344
615,195164
616,162749
617,176680
618,157832
619,164386
620,144270
621,191198
622,158836
623,185096
624,279904
625,174464
626,169803
627,172668
628,162525
629,163561
630,150022
631,184877
632,281729
633,182643
634,148507
635,185119
636,160930
637,172173
638,159647
639,164546
640,148240
641,295697
642,199171
643,174492
644,146458
645,192019
646,162656
647,174953
648,159791
649,159572
650,258187
651,172048
652,159404
653,148805
654,189655
655,159287
656,166113
657,165833
658,168432
659,152085
660,180557
661,160193
662,163323
663,165525
664,169416
665,149486
666,195980
667,172164
668,158439
669,170456
670,159418
671,147923
672,186207
673,160402
674,171049
675,164243
676,172308
677,139638
678,244845
679,232137
680,134296
681,185740
682,162922
683,166574
684,171679
685,156899
686,190615
687,152984
688,177977
689,168352
690,163240
691,167093
692,145264
693,191520
694,160095
695,168269
696,156997
697,172061
698,142997
699,191926
700,156069
701,169346
702,163277
703,165297
704,146631
705,262120
706,174893
707,153802
708,188297
709,167592
710,159031
711,167713
712,164288
713,146113
714,186169
715,253355
716,170540
717,167633
718,164629
719,166365
720,167069
721,145427
722,188693
723,166589
724,196251
725,283166
726,139572
727,195244
728,151054
729,172747
730,171427
731,165348
732,197049
733,212636
734,246701
735,167326
736,147116
737,186267
738,186794
739,195481
740,225404
741,330341
742,174300
743,168446
744,170634
745,151254
746,185852
747,177226
748,214185
749,319606
750,167848
751,164784
752,146281
753,186584
754,160608
755,171618
756,183837
757,289935
758,140282
