Frame Count,Frame Time (ns)
0,214175
1,1573450
2,9613810
3,1669807
4,1425401
5,1243659
6,1328745
7,1263245
8,1298099
9,1394264
10,1323697
11,1359541
12,1298337
13,1372151
14,1300450
15,1366445
16,1352408
17,1389394
18,1316414
19,1374549
20,1370239
21,1284084
22,1421687
23,1334549
24,1375175
25,1337591
26,1400777
27,1311707
28,1385111
29,1329618
30,1416108
31,1343227
32,1408363
33,1366417
34,1427561
35,1452311
36,1329987
37,1434848
38,1384076
39,1446423
40,1334857
41,1408261
42,1435105
43,1344267
44,1409352
45,1341757
46,1406875
47,1343940
48,1415021
49,1368904
50,1411387
51,1593726
52,1566363
53,1447263
54,1378655
55,1439098
56,1453598
57,1350266
58,1430449
59,1397190
60,1460167
61,1431387
62,1371470
63,1447104
64,1353163
65,1417022
66,1458054
67,1366058
68,1408961
69,1384165
70,1461627
71,1439896
72,1426959
73,1495441
74,1505014
75,1459415
76,1531005
77,1484128
78,1405523
79,1472269
80,1516482
81,1429218
82,1513762
83,1468117
84,1415441
85,1489265
86,1471112
87,1419397
88,1496505
89,1394550
90,1468886
91,1512773
92,1487188
93,1532386
94,1535820
95,1574173
96,1479658
97,1554271
98,1525570
99,1559356
100,1464641
101,1539095
102,1561912
103,1554140
104,1518152
105,1580248
106,1531318
107,1564366
108,1472768
109,1564786
110,1553688
111,1579445
112,1516669
113,1654645
114,1651244
115,1605179
116,1559370
117,1450566
118,1546438
119,1522211
120,1541974
121,1470529
122,1529815
123,1516855
124,1541530
125,1477382
126,1584815
127,1566452
128,1550086
129,1492838
130,1599744
131,1584301
132,1578754
133,1568859
134,1532214
135,1584381
136,1564236
137,1518866
138,1463283
139,1581409
140,1573855
141,1574159
142,1492861
143,1560149
144,1575787
145,1575027
146,1586736
147,1506726
148,1599585
149,1618330
150,1574416
151,1530389
152,1516785
153,1580130
154,1557350
155,1534882
156,1517574
157,1495988
158,1565579
159,1591593
160,1570039
161,1587413
162,1516267
163,1605179
164,1596511
165,1664605
166,1656824
167,1627843
168,1545239
169,1603233
170,1581586
171,1606765
172,1585897
173,1578722
174,1486978
175,1573796
176,1607964
177,1597462
178,1595871
179,1580163
180,1517489
181,1564992
182,1541842
183,1561493
184,1603070
185,1537914
186,1611612
187,1614682
188,1610059
189,1617384
190,1658867
191,1529116
192,1652578
193,1606168
194,1658610
195,1613194
196,1659693
197,1633339
198,1630362
199,1542048
200,1594252
201,1565771
202,1561147
203,1529018
204,1479160
205,1563083
206,1610889
207,1604283
208,1599371
209,1636259
210,1653983
211,1580536
212,1665119
213,1661681
214,1667890
215,1689313
216,1711636
217,1684340
218,1617132
219,1582407
220,1618274
221,1646346
222,1554266
223,1652354
224,1624610
225,1631985
226,1615209
227,1612172
228,1817516
229,1524739
230,1594258
231,1589559
232,1633576
233,1644461
234,1638727
235,1647652
236,1683873
237,1654622
238,1537532
239,1629126
240,1573566
241,1625328
242,1569233
243,1586420
244,1550128
245,1617813
246,1620663
247,1603103
248,1652532
249,1640910
250,1633497
251,1538091
252,1649275
253,1622128
254,1609657
255,1630539
256,1637234
257,1644404
258,1661526
259,1667208
260,1635756
261,1680346
262,1637645
263,1608668
264,1613124
265,1623644
266,1618410
267,1592946
268,1622743
269,1627484
270,1553781
271,1623285
272,1637672
273,1653940
274,1639314
275,1616562
276,1611635
277,1596250
278,1630148
279,1566638
280,1636651
281,1654794
282,1653750
283,1632000
284,1624964
285,1631906
286,1606261
287,1544916
288,1582963
289,1619679
290,1592699
291,1598008
292,1628916
293,1659137
294,1532134
295,1649825
296,1823333
297,1624395
298,1640789
299,1657873
300,1665436
301,1717617
302,1687708
303,1695583
304,1663565
305,1653666
306,1671855
307,1625067
308,1697225
309,1669420
310,1644363
311,1637230
312,1638223
313,1689673
314,1699427
315,1701223
316,1707204
317,1705044
318,1701461
319,1755378
320,1736881
321,1762073
322,1766827
323,1778205
324,1754725
325,1770871
326,1748156
327,1799606
328,1637803
329,1689369
330,1728100
331,1689742
332,1665725
333,1661535
334,1646522
335,1720906
336,1734580
337,1725376
338,1739516
339,1756773
340,1885004
341,1775966
342,1804294
343,1772724
344,1784938
345,1792043
346,1763225
347,1747941
348,1765310
349,1718191
350,1708576
351,1744840
352,1723953
353,1815113
354,1720473
355,1732243
356,1727134
357,1753629
358,1761229
359,1839042
360,1811875
361,1807905
362,1832552
363,1903460
364,1867859
365,1843935
366,1852907
367,1823086
368,1851922
369,1865853
370,1783440
371,1808931
372,1789967
373,1789543
374,1815468
375,1861710
376,1859900
377,1866861
378,1824976
379,1835687
380,1837768
381,1948167
382,1820669
383,1849799
384,1871568
385,1841304
386,1935856
387,1848787
388,1821519
389,1795313
390,1866548
391,1793434
392,1818677
393,1855696
394,1780492
395,1780949
396,1772687
397,2012763
398,1853415
399,1811348
400,1987188
401,1908303
402,1841649
403,1804364
404,1806576
405,1839871
406,1815677
407,1899867
408,1871157
409,1827657
410,1830070
411,1802675
412,1783482
413,1803874
414,1866389
415,1799284
416,1835561
417,1823184
418,1807597
419,1813517
420,1785362
421,1788381
422,1783716
423,1831054
424,1786762
425,1815929
426,1776699
427,1817123
428,1804662
429,1782208
