Frame Count,Frame Time (ns)
0,172239
1,271959
2,8654707
3,441660
4,154627
5,170844
6,155518
7,167540
8,188637
9,152597
10,621550
11,204145
12,151408
13,169981
14,133451
15,175714
16,166015
17,172994
18,196443
19,157762
20,163019
21,153110
22,179545
23,167246
24,159848
25,169798
26,161947
27,149962
28,184816
29,161065
30,169104
31,163869
32,159540
33,160361
34,171030
35,172579
36,157538
37,167625
38,172952
39,149584
40,175444
41,169826
42,158276
43,172290
44,147559
45,191548
46,193284
47,182596
48,163528
49,170461
50,157898
51,161550
52,153293
53,195136
54,161719
55,202987
56,186463
57,169691
58,161289
59,168068
60,147494
61,183775
62,163351
63,171068
64,158023
65,150726
66,182572
67,186104
68,160529
69,154095
70,165320
71,144340
72,184420
73,171478
74,170625
75,177753
76,167583
77,171118
78,138439
79,176498
80,168824
81,162708
82,172528
83,147120
84,184593
85,156381
86,167504
87,172528
88,163571
89,153624
90,180627
91,161877
92,174875
93,168940
94,174539
95,170303
96,149672
97,183603
98,162050
99,166332
100,167316
101,162250
102,150978
103,182805
104,167415
105,159740
106,168595
107,163761
108,151744
109,182955
110,183258
111,159008
112,168156
113,244551
114,162992
115,158270
116,164209
117,171338
118,164275
119,166364
120,171656
121,160108
122,148968
123,175654
124,177814
125,162885
126,162558
127,164504
128,153376
129,181499
130,186725
131,157282
132,242008
133,140211
134,168292
135,170811
136,153139
137,181261
138,161644
139,167881
140,169649
141,159278
142,148226
143,186570
144,159446
145,170191
146,160146
147,170825
148,145702
149,183244
150,163114
151,162404
152,172621
153,157338
154,155854
155,177216
156,163500
157,167288
158,164965
159,157160
160,173331
161,166048
162,170195
163,164023
164,175569
165,143052
166,185418
167,160715
168,173750
169,170848
170,256849
171,204266
172,163150
173,163570
174,159917
175,155574
176,177492
177,157542
178,171646
179,271474
180,128291
181,166798
182,177450
183,145866
184,185255
185,164219
186,166640
187,161415
188,179237
189,182390
190,153218
191,190736
192,158154
193,163472
194,163062
195,167410
196,140915
197,197716
198,160370
199,166565
200,172201
201,161410
202,156876
203,174945
204,161970
205,176797
206,162269
207,154515
208,161055
209,176116
210,169976
211,160506
212,172401
213,158672
214,159301
215,191422
216,235118
217,251455
218,116661
219,196797
220,165446
221,158434
222,164961
