Frame Count,Frame Time (ns)
0,156568
1,253868
2,7967353
3,430048
4,149024
5,151576
6,190779
7,163305
8,166962
9,162446
10,172551
11,137216
12,186813
13,167345
14,166523
15,160650
16,166710
17,145688
18,202390
19,196185
20,194077
21,147401
22,174623
23,177996
24,162395
25,135004
26,204401
27,159633
28,162955
29,196233
30,147475
31,176008
32,141639
33,178686
34,187392
35,162866
36,170815
37,133101
38,219218
39,135873
40,166682
41,194520
42,135303
43,173783
44,146789
45,196563
46,153600
47,157963
48,168226
49,160683
50,158289
51,184937
52,186132
53,160263
54,163692
55,124358
56,202386
57,154701
58,159582
59,167550
60,166864
61,142549
62,194338
63,159362
64,164247
65,164335
66,165572
67,142255
68,192532
69,160291
70,159722
71,165400
72,167531
73,148772
74,181699
75,161242
76,171124
77,160864
78,167578
79,144956
80,187769
81,161443
82,182498
83,159428
84,138919
85,199992
86,155537
87,181877
88,153871
89,169477
90,164713
91,147895
92,189878
93,155401
94,172370
95,160100
96,162534
97,148880
98,186081
99,165549
100,163948
101,169309
102,144116
103,183347
104,168660
105,163878
106,183398
107,230158
108,229029
109,143398
110,184163
111,167788
112,127489
113,215094
114,142456
115,161401
116,153134
117,169384
118,153064
119,180053
120,161764
121,168637
122,162516
123,169262
124,145613
125,188017
126,155891
127,171408
128,165889
129,144681
130,205624
131,167172
132,162586
133,165758
134,154874
135,162959
136,149015
137,187951
138,164168
139,164802
140,164863
141,147387
142,188880
143,159320
144,165581
145,161914
146,169053
147,147815
148,189095
149,169150
150,163104
151,183575
152,167699
153,170638
154,138293
155,190158
156,164630
157,160332
158,168772
159,168352
160,139619
161,218154
162,163249
163,251320
164,268675
165,108814
166,217888
167,128492
168,171706
169,159703
170,173619
171,147242
172,181928
173,158975
174,172593
175,168511
176,159983
177,140892
178,192267
179,157659
180,171516
181,169006
182,131231
183,190284
184,166593
185,171506
186,161266
187,164219
188,139446
189,195085
190,161256
191,166053
192,162063
193,168791
194,138243
195,199811
196,158046
197,164937
198,174575
199,159964
200,134403
201,193503
202,158121
203,163141
204,165138
205,189277
206,125128
207,207587
208,159297
209,151767
210,160408
211,166897
212,141975
213,194613
214,168437
215,154058
216,166809
217,144806
218,193638
219,158112
220,173694
221,150764
222,169621
223,147405
224,188763
225,161760
226,167242
227,163967
228,170470
229,145982
230,179684
231,161094
232,165991
233,173302
234,169962
235,138387
236,205381
237,159045
238,167993
239,167783
240,200552
241,146533
242,149631
243,186128
244,169383
245,163752
246,174861
247,178369
248,128357
249,233050
250,217804
251,175868
252,151771
253,154571
254,162334
255,166515
256,142198
257,190228
258,159539
259,165380
260,176484
261,157468
262,147997
263,190316
264,155662
265,167797
266,204504
267,290192
268,309314
269,174390
270,120570
271,197058
272,152602
273,165246
274,162344
275,163696
276,147228
277,187662
278,163934
279,164751
280,171417
281,159203
282,155280
283,174557
284,164862
285,169029
286,169407
287,162260
288,141867
289,187764
290,162399
291,167993
292,164070
293,169430
294,143346
295,185198
296,158746
297,181770
298,155556
299,173657
300,134618
301,191334
302,175224
303,147787
304,167764
305,145595
306,192047
307,159026
308,175490
309,156507
310,167456
311,148870
312,186048
313,161536
314,248549
315,117725
316,168390
317,184895
318,128175
319,184028
320,169420
321,172737
322,152882
323,164816
324,144928
325,183668
326,171100
327,171301
328,160799
329,163729
330,143076
331,192192
332,161275
333,161293
334,160436
335,176274
336,146579
337,180510
338,164447
339,170046
340,169173
341,156395
342,149542
343,183393
344,158527
345,170074
346,170587
347,142479
348,187900
349,165138
350,162190
351,169846
352,162866
353,149491
354,181957
355,168385
356,163281
357,165983
358,168674
359,139796
360,199889
361,149948
362,166337
363,158159
364,180855
365,134426
366,194604
367,163052
368,169584
369,165893
370,162847
371,138340
372,191296
373,157734
374,187442
375,157361
376,150852
377,145147
378,186309
379,178658
380,161853
381,175485
382,126187
383,194763
384,155569
385,169262
386,163561
387,175896
388,129597
389,200029
390,161574
391,159572
392,157687
393,171081
394,142870
395,194940
396,161663
397,176512
398,149715
399,180234
400,131847
401,192439
402,151530
403,169505
404,167316
405,177426
406,139479
407,182446
408,168133
409,171510
410,165268
411,149742
412,149491
413,183538
414,171642
415,160678
416,164518
417,148086
418,185096
419,168007
420,166323
421,155612
422,166393
423,147983
424,187452
425,168819
426,164078
427,165292
428,167145
429,142773
430,193014
431,152108
432,160590
433,176316
434,167144
435,138532
436,187714
437,164210
438,166509
439,162764
440,162745
441,149519
442,181056
443,175117
444,157753
445,167163
446,167881
447,142978
448,202264
449,158653
450,154001
451,163197
452,155010
453,179670
454,166579
455,163897
456,165529
457,162997
458,151823
459,185212
460,155858
461,170993
462,164326
463,166123
464,144784
465,186495
466,164746
467,166379
468,165376
469,160659
470,154417
471,182427
472,164489
473,165418
474,165553
475,162675
476,150204
477,195364
478,162506
479,201341
480,307639
481,143248
482,185339
483,161252
484,172505
485,161149
486,169509
487,145656
488,178593
489,163025
490,170713
491,170601
492,160869
493,147713
494,183870
495,164126
496,163333
497,166621
498,161578
499,158224
500,181308
501,159021
502,168768
503,165190
504,145385
505,182362
506,168511
507,162185
508,165721
509,162745
510,156171
511,183417
512,163612
513,164676
514,163276
515,168740
516,145815
517,184947
518,160450
519,169122
520,176256
521,302289
522,138448
523,171474
524,161639
525,125632
526,202745
527,158807
528,159381
529,178858
530,160724
531,139320
532,190750
533,164144
534,169476
535,160809
536,158980
537,148912
538,183528
539,168455
540,162609
541,164769
542,165945
543,150586
544,186911
545,173330
546,178859
547,167368
548,172057
549,140771
550,182143
551,163701
552,164280
553,188824
554,159871
555,140971
556,185721
557,166342
558,162254
559,169887
560,163472
561,147639
562,184742
563,167834
564,168035
565,153377
566,166132
567,152397
568,190975
569,158685
570,160725
571,171479
572,162394
573,146799
574,189976
575,158093
576,162409
577,171987
578,171301
579,138620
580,203623
581,160702
582,176965
583,156190
584,204069
585,196657
586,170806
587,140108
588,197035
589,155290
590,166094
591,153805
592,175024
593,136796
594,183888
595,166616
596,197505
597,145269
598,129634
599,187275
600,165619
601,166420
602,165548
603,161098
604,148501
605,184377
606,165903
607,170708
608,168725
609,160304
610,142814
611,183701
612,167746
613,206715
614,165339
615,170055
616,162716
617,142637
618,190461
619,170232
620,161653
621,180165
622,217044
623,144983
624,169327
625,148268
626,183417
627,171342
628,179890
629,166290
630,158523
631,219326
632,131711
633,190266
634,162166
635,166537
636,163981
637,172295
638,140967
639,293831
640,134819
641,284271
642,252841
643,167989
644,153988
645,154343
646,141825
647,190349
648,163421
649,160636
650,166986
651,175159
652,132267
653,210868
654,166593
655,157435
656,168465
657,119161
658,197203
659,151123
660,164275
661,169999
662,167037
663,145679
664,207583
665,160888
666,138457
667,175798
668,177366
669,132826
670,217492
671,182148
672,169892
673,171851
674,155957
675,188591
676,129164
677,208689
678,151739
679,154263
680,170843
681,168627
682,133195
683,182381
684,167928
685,172686
686,159530
687,162059
688,153335
689,179026
690,163108
691,172393
692,161349
693,171525
694,138723
695,235323
696,142950
697,141867
698,163426
699,166962
700,146379
701,189622
702,184560
703,164531
704,169906
705,162829
706,144004
707,226968
708,159968
709,155989
710,166566
711,162469
712,172066
713,141462
714,215696
715,185054
716,303478
717,260594
718,141984
719,165502
720,150927
721,187518
722,180347
723,192164
724,164592
725,155061
726,173773
727,163290
728,147816
729,184373
730,169319
731,160314
732,169379
733,142217
734,188474
735,160002
736,171240
737,170078
738,156362
739,145992
740,187755
741,170619
742,161331
743,161411
744,162893
745,144723
746,190289
747,167176
748,162320
749,167830
750,169211
751,135765
752,196507
753,152509
754,173703
755,160804
756,175010
757,137893
758,188763
759,165899
760,168334
761,157757
762,169112
763,148562
764,312487
765,271503
766,144485
767,167933
768,156456
769,145082
770,199582
771,158938
772,170008
773,162740
774,165675
775,146906
776,187425
777,157935
778,170363
779,163515
780,160407
781,149383
782,187354
783,159119
784,165390
785,168063
786,140142
787,195019
788,162031
789,176306
790,156138
791,161774
792,143005
793,190461
794,163463
795,170475
796,160543
797,165898
798,141891
799,193998
800,166444
801,290360
802,137734
803,184471
804,169477
805,160240
806,173391
807,157716
808,150586
809,180734
810,161942
