Frame Count,Frame Time (ns)
0,1618666
1,1005869
2,11576972
3,2107269
4,1836299
5,1835687
6,1696586
7,1730671
8,1758005
9,1671799
10,1731777
11,1652606
12,1788362
13,1723472
14,1713405
15,1731338
16,1825727
17,1704592
18,1674921
19,1820161
20,1723911
21,1763029
22,1809650
23,1741004
24,1735742
25,1839979
26,1733115
27,1755318
28,1821737
29,1825241
30,1901925
31,1802204
32,1769673
33,1889417
34,1821514
35,1912151
36,1800636
37,1856639
38,1922256
39,1856312
40,1965765
41,1842946
42,1929100
43,1875048
44,1955044
45,1883451
46,1934288
47,1895310
48,1966306
49,1855192
50,1983512
51,1966852
52,1997750
53,1894115
54,1935030
55,2030734
56,1882340
57,2010090
58,1931951
59,1985532
60,1903218
61,1960106
62,2005872
63,1905028
64,1972254
65,1880269
66,1928518
67,1928630
68,2017476
69,1965368
70,2006782
71,2005141
72,1907845
73,1998422
74,1890943
75,2036295
76,1902098
77,2033790
78,1884589
79,2002224
80,1876345
81,1956644
82,1915860
83,2149569
84,1817940
85,1925224
86,1782446
87,1799022
88,1910495
89,1813060
90,1905597
91,1828017
92,1788852
93,1878118
94,1780249
95,1798794
96,1815201
97,1742091
98,1742125
99,1840273
100,1732472
101,1713143
102,1700692
103,1782582
104,1653190
105,1728837
106,1630269
107,1644955
108,1758686
109,1614416
110,1628775
111,1641470
112,1613637
113,1573240
114,1635494
115,1606443
116,1718807
117,1570581
118,1601763
119,1561190
120,1528318
121,1530431
122,1588039
123,1480149
124,1452245
125,1378262
126,1465560
127,1487408
128,1486773
129,1429217
130,1421300
131,1418497
132,1479883
133,1378371
134,1530109
135,1303497
136,1406455
137,1393807
138,1396149
139,1549830
140,1291198
141,1388353
142,1377875
143,1392669
144,1271339
145,1396136
146,1348143
147,1306557
148,1240916
149,1308055
150,1289771
151,1166892
152,1279456
153,1359952
154,1317493
155,1168916
156,1274347
157,1177388
158,1338724
159,1269697
160,1129163
161,1270788
162,1218046
163,1117533
164,1249976
165,1115802
166,1226309
167,1074178
168,1211809
169,1144900
170,1227587
171,1049933
172,1164881
173,1055960
174,1351125
175,1043690
176,1157337
177,1089391
178,1219993
179,1049708
180,1031728
181,1158438
182,1027525
183,1186168
184,1025085
185,1116319
186,1029204
187,1057723
188,1121302
189,984739
190,904730
191,1077350
192,954779
193,967067
194,980144
195,993118
196,1002775
197,1113646
198,981376
199,992596
200,1102254
201,971775
202,978745
203,951513
204,1081470
205,942084
206,966904
207,949889
208,950020
209,915021
210,922173
211,851969
212,827444
213,1035526
214,913103
215,814251
216,912591
217,801715
218,916061
219,865074
220,809618
221,824785
222,841319
223,823091
224,892221
225,889577
226,793755
227,814713
228,881226
229,848438
230,832356
231,812571
232,812450
233,905723
234,857675
235,823609
236,909073
237,819102
238,814628
239,831143
240,814960
241,845811
242,997844
243,904077
244,852828
245,943041
246,834064
247,857945
248,897498
249,816397
250,854904
251,898744
252,948420
253,942495
254,922247
255,883469
