Frame Count,Frame Time (ns)
0,127405
1,256783
2,8315371
3,460224
4,149313
5,170097
6,146491
7,207266
8,162073
9,154492
10,171086
11,215420
12,190060
13,166146
14,161975
15,153881
16,182689
17,162740
18,164308
19,166411
20,161023
21,153769
22,179586
23,171940
24,161097
25,167494
26,143192
27,184803
28,172574
29,156676
30,167111
31,163505
32,153087
33,179250
34,169859
35,159946
36,174819
37,156419
38,145049
39,187252
40,161484
41,163328
42,163524
43,167335
44,149192
45,182955
46,165040
47,164480
48,164345
49,167741
50,155271
51,175971
52,172038
53,161154
54,163062
55,165274
56,148273
57,181849
58,181611
59,214109
60,211534
61,156540
62,159572
63,164806
64,146519
65,194688
66,158793
67,162142
68,166458
69,168586
70,140836
71,180991
72,163235
73,174837
74,160403
75,163319
76,149631
77,186202
78,159027
79,169784
80,165968
81,161382
82,151292
83,201061
84,150988
85,166015
86,167298
87,159502
88,145156
89,187210
90,162255
91,182278
92,161965
93,132541
94,186435
95,172019
96,161163
97,160034
98,163878
99,154781
100,186505
101,178009
102,157398
103,167713
104,162931
105,136875
106,177473
107,163477
108,169622
109,166444
110,165493
111,146902
112,181812
113,170592
114,169169
115,154870
116,171768
117,142973
118,187960
119,161242
120,165343
121,168441
122,143365
123,187550
124,162027
125,167732
126,169845
127,158690
128,146482
129,185525
130,161102
131,162768
132,167125
133,166524
134,149943
135,181355
136,164070
137,169006
138,163001
139,164774
140,149985
141,183711
142,163962
143,168931
144,165073
145,159311
146,158368
147,176606
148,164517
149,183697
150,165931
151,151520
152,148366
153,184518
154,164625
155,155247
156,171422
157,144601
158,202694
159,155933
160,170928
161,164955
162,163090
163,213844
164,156251
165,147438
166,184136
167,169822
168,162997
169,167932
170,162432
171,144657
172,187069
173,161536
174,168987
175,161452
176,147927
177,182637
178,166085
179,163627
180,172817
181,160608
182,151693
183,179096
184,161630
185,166966
186,165851
187,175892
188,138788
189,195076
190,164349
191,168413
192,184862
193,182703
194,152341
195,153568
196,186556
197,160538
198,162595
199,167060
200,170102
201,146342
202,181658
203,163682
204,162694
205,166462
206,165572
207,158733
208,178019
209,175476
210,155975
211,160514
212,165819
213,146868
214,186053
215,165642
216,165157
217,165152
218,145133
219,188856
220,169454
221,155850
222,165969
223,168712
224,142922
225,186761
226,162721
227,168959
228,164106
229,164228
230,145441
231,185716
232,167414
233,161326
234,171277
235,169197
236,141550
237,192733
238,153526
239,166006
240,169346
241,158882
242,149341
243,184741
244,209249
245,164229
246,170233
247,161914
248,165231
249,149630
250,183030
251,165161
252,164830
253,166238
254,168175
255,145249
256,195149
257,166976
258,166580
259,147610
260,169933
261,144517
262,183389
263,165497
264,166355
265,168077
266,142324
267,184420
268,164750
269,163430
270,166613
271,174991
272,137827
273,194567
274,172919
275,159768
276,172794
277,142805
278,150811
279,178550
280,168879
281,164653
282,165017
283,164387
284,149500
285,183366
286,180473
287,158555
288,196484
289,186934
290,164881
291,139078
292,193135
293,164797
294,171944
295,162721
296,159301
297,201256
298,171651
299,147993
300,188614
301,161681
302,168865
303,163201
304,145646
305,186715
306,162833
307,166314
308,163379
309,171818
310,139931
311,192668
312,158205
313,169266
314,160687
315,170060
316,140808
317,188357
318,167741
319,162604
320,161793
321,169099
322,148907
323,182031
324,171245
325,161606
326,157496
327,169467
328,150927
329,180570
330,172728
