Frame Count,Frame Time (ns)
0,150965
1,240268
2,7746339
3,417970
4,168795
5,143631
6,186328
7,163668
8,161439
9,167596
10,172328
11,146034
12,189467
13,170690
14,159134
15,163211
16,171310
17,136847
18,202717
19,172686
20,148217
21,154356
22,163617
23,147569
24,182717
25,163743
26,167629
27,163925
28,165553
29,149519
30,179325
31,168338
32,163780
33,166565
34,147881
35,201098
36,145539
37,169183
38,164429
39,164387
40,147951
41,188441
42,160631
43,163882
44,168539
45,161336
46,154095
47,181443
48,168800
49,161873
50,244611
51,222824
52,158079
53,158574
54,164508
55,164289
56,149733
57,180837
58,171077
59,157622
60,167577
61,146869
62,184933
63,167256
64,162969
65,165301
66,167214
67,148525
68,182367
69,166841
70,161289
71,168824
72,161573
73,147685
74,188753
75,159288
76,165665
77,166556
78,165250
79,147181
80,185633
81,163085
82,166430
83,166724
84,162824
85,148693
86,189323
87,180860
88,224135
89,176871
90,157141
91,165371
92,167378
93,144933
94,186571
95,166770
96,168655
97,158643
98,161989
99,145194
100,186724
101,167340
102,171581
103,156838
104,171161
105,136945
106,191054
107,157100
108,164714
109,168315
110,144545
111,187252
112,163715
113,166011
114,164480
115,165595
116,145353
117,181093
118,165166
119,171846
120,161555
121,165763
122,146300
123,189011
124,160146
125,170615
126,160641
127,172043
128,141956
129,187830
130,165992
131,160874
132,163696
133,165315
134,145096
135,188003
136,163724
137,165269
138,162278
139,174021
140,143076
141,186677
142,164536
143,162423
144,170895
145,145394
146,181159
147,166617
148,159251
149,174286
150,158892
151,145786
152,183916
153,168226
154,162292
155,164770
156,174142
157,143407
158,180897
159,169570
160,168889
161,158093
162,166267
163,145889
164,186323
165,167736
166,158200
167,167433
168,161989
169,155784
170,190205
171,159801
172,158340
173,166747
174,146840
175,188978
176,162754
177,159064
178,164219
179,167774
180,148488
181,187961
182,163486
183,161597
184,165296
185,164471
186,150237
187,182404
188,161653
189,168772
190,165637
191,166118
192,146168
193,183123
194,171660
195,159642
196,168441
197,158401
198,152794
199,185698
200,199004
201,167475
202,163547
203,168100
204,165296
205,141667
206,190424
207,162595
208,166057
209,163869
210,147120
211,185045
212,167046
213,162002
214,165646
215,164601
216,149864
217,185945
218,161275
219,169799
220,163346
221,163692
222,143906
223,193125
224,157370
225,164536
226,162539
227,169640
228,144760
229,187573
230,163062
231,164970
232,176381
233,156670
234,145478
235,232860
236,279867
237,111780
238,211451
239,159796
240,168460
241,165007
242,163510
243,261215
244,253303
245,160398
246,159353
247,165376
248,165101
249,145203
250,187630
251,176312
252,215295
253,165753
254,169220
255,162754
256,170247
257,141900
258,185026
259,177506
260,157384
261,162296
262,163580
263,151809
264,181760
265,166766
266,165297
267,163398
268,144559
269,189897
270,163738
271,162245
272,169243
273,163622
274,145744
275,189915
276,163463
277,163855
278,167358
279,163127
280,146747
281,189584
282,158210
283,163860
284,164895
285,165012
286,153731
287,204462
288,167438
289,161247
290,198891
291,167452
292,168082
293,137897
294,200389
295,152481
296,165870
297,165739
298,163048
299,148245
300,183281
301,159843
302,171217
303,163365
304,167022
305,142469
306,184998
307,164704
308,166846
309,165553
310,167610
311,143342
312,184415
313,168236
314,162087
315,171184
316,160841
317,144279
318,190321
319,162199
320,159175
321,164382
322,174833
323,145254
324,205982
325,160109
326,149220
327,167489
328,146182
329,184830
330,162964
331,168594
332,170447
333,159946
334,143841
335,197207
336,151777
337,173079
338,158416
339,173237
340,142347
341,194790
342,157515
343,162530
344,165446
345,166668
346,144242
347,185815
348,174202
349,151230
350,170685
351,167779
352,144606
353,185273
354,164807
355,164526
356,165618
357,165189
358,155439
359,239312
360,190396
361,163841
362,165875
363,168207
364,170274
365,188582
366,177137
367,284048
368,292090
369,175518
370,167919
371,151543
372,159460
373,164872
374,140570
375,189019
376,161666
377,159670
378,176895
379,164442
380,141144
381,186198
382,160589
383,168744
384,170153
385,158900
386,144508
387,187667
388,167279
389,166874
390,163981
391,162428
392,147783
393,192510
394,156857
395,168422
396,162222
397,168459
398,142445
399,186449
400,163753
401,162926
402,169911
403,191539
404,148115
405,183524
406,168982
407,165661
408,167111
409,164387
410,148557
411,182885
412,161825
413,172005
414,155569
415,163495
416,153236
417,186472
418,163239
419,164961
420,163257
421,163626
422,150410
423,187177
424,163827
425,164555
426,161663
427,169938
428,144424
429,189504
430,166873
431,185022
432,145571
433,171986
434,144652
435,182852
436,163052
437,164765
438,162740
439,169155
440,142708
441,186206
442,165539
443,167858
444,160697
445,153275
446,190657
447,166365
448,168389
449,156148
450,173876
451,137785
452,185810
453,174543
454,154533
455,168810
456,167993
457,143426
458,186752
459,162488
460,169980
461,165087
462,165749
463,140972
464,186267
465,167699
466,163543
467,165017
468,188842
469,127778
470,181145
471,165562
472,167046
473,162184
474,166523
475,142068
476,192817
477,203575
478,169766
479,140789
480,173041
481,163384
482,143351
483,186370
484,164984
485,165442
486,166029
487,145436
488,185255
489,171702
490,158713
491,166729
492,164513
493,144028
494,186785
495,163617
496,175425
497,158910
498,161536
499,150325
500,191650
501,154525
502,168040
503,164471
504,164816
505,143976
506,186034
507,167700
508,164037
509,169215
510,160836
511,148343
512,183086
513,169122
514,166911
515,165833
516,143080
517,192136
518,160356
519,159689
520,165226
521,164914
522,149901
523,187308
524,167233
525,156287
526,170498
527,172975
528,135224
529,180678
530,165278
531,170419
532,165759
533,161517
534,146752
535,187037
536,167848
537,167097
538,161587
539,163239
540,147592
541,185189
542,165824
543,161784
544,171786
545,168086
546,137015
547,187723
548,162773
549,166822
550,165143
551,170946
552,140594
553,183636
554,167200
555,162600
556,165767
557,151874
558,189533
559,153969
560,160487
561,173312
562,193125
563,116456
564,186123
565,172118
566,158234
567,166645
568,225582
569,212005
570,177548
571,151590
572,140188
573,190363
574,183510
575,169813
576,259093
577,257679
578,156251
579,173942
580,158691
581,173386
582,159969
583,177585
584,183492
585,149793
586,189099
587,182185
588,176596
589,144797
590,168185
591,136181
592,197170
593,166202
594,173373
595,165361
596,177790
597,128856
598,195985
599,151996
600,165997
601,165352
602,272953
603,81102
604,146252
605,188194
606,174268
607,158845
608,169817
609,161713
610,144634
611,185437
612,160790
613,168021
614,168292
615,142693
616,184009
617,165964
618,161415
619,173624
620,165460
621,146701
622,181476
623,165777
624,157874
625,165464
626,172369
627,143333
628,191264
629,168511
630,158686
631,162077
632,165441
633,146328
634,185269
635,164788
636,168599
637,172752
638,159414
639,137590
640,200804
641,154702
642,158970
643,172322
644,173148
645,147909
646,189603
647,152014
648,173456
649,164807
650,169826
651,133740
652,193060
653,157786
654,162651
655,170493
656,145362
657,188959
658,168315
659,170713
660,150685
661,166127
662,142833
663,200897
664,153232
665,162642
666,169556
667,171641
668,138877
669,184760
670,164009
671,165315
672,159838
673,169910
674,146663
675,189827
676,162983
677,165189
678,171487
679,156222
680,152850
681,187732
682,158919
683,161411
684,173166
685,140160
686,190662
687,160398
688,175365
689,151697
690,178070
691,137510
692,188362
693,156391
694,166319
695,165950
696,163557
697,148558
698,188059
699,163943
700,163743
701,164112
702,168707
703,146594
704,183827
705,160529
706,172080
707,165683
708,162362
709,141046
710,188865
711,163454
712,161994
713,165591
714,169589
715,154669
716,178928
717,164023
718,164298
719,165474
720,142675
721,191156
722,159712
723,167214
724,170433
725,159656
726,147843
727,189061
728,163356
729,162801
730,166440
731,167406
732,141554
733,192719
734,160389
735,164033
736,166215
737,167671
738,143347
739,194030
740,162441
741,157990
742,168618
743,160954
744,149309
745,191819
746,154519
747,174469
748,158676
749,167438
750,145511
751,182097
752,168297
753,176834
754,155117
755,165880
756,142021
757,192430
758,154413
759,167251
760,171249
761,136194
762,195574
763,160673
764,158905
765,168936
766,197203
767,112816
768,184896
769,163062
770,166319
771,169159
772,174641
773,135938
774,190251
775,164037
776,157963
777,169906
778,165656
779,142045
780,191366
781,161587
782,172094
783,152607
784,148599
785,194809
786,159800
787,166435
788,156223
789,174300
790,137319
791,192066
792,161042
793,170452
794,154963
795,171450
796,143790
797,194707
798,156913
799,171104
800,156857
801,290765
802,85469
803,144200
804,189757
805,161797
806,173661
807,160109
808,169607
809,140673
810,187313
811,197580
812,153288
813,146976
814,171058
815,135457
816,192001
817,191959
818,260474
819,274955
820,156642
821,125291
822,188381
823,158327
824,165516
825,166915
826,169514
827,139987
828,187896
829,165068
830,160188
831,173526
832,158042
833,144051
834,186263
835,169696
836,165287
837,160169
838,141900
839,187438
840,173288
841,160482
842,162017
843,199335
844,157361
845,133811
846,192411
847,163841
848,167200
849,175131
850,159279
851,137402
852,198145
853,153736
854,167209
855,157529
856,152653
857,186528
858,173451
859,157875
860,165493
861,165152
862,139475
863,199741
864,190284
865,278360
866,131305
867,186435
868,165987
869,171199
870,154091
871,171189
872,142124
