Frame Count,Frame Time (ns)
0,129719
1,294945
2,7791251
3,414219
4,166104
5,153787
6,177398
7,160230
8,165436
9,166892
10,171622
11,152831
12,177053
13,166976
14,162255
15,164764
16,168469
17,154166
18,175411
19,167279
20,161322
21,165105
22,173998
23,146066
24,175233
25,165171
26,164349
27,165311
28,184312
29,166295
30,175653
31,172542
32,156088
33,166785
34,168320
35,153508
36,176181
37,172878
38,162898
39,164028
40,168814
41,154478
42,169253
43,166561
44,164256
45,164900
46,165315
47,153209
48,179805
49,159815
50,175178
51,163673
52,158541
53,159372
54,173400
55,162353
56,168730
57,172719
58,161499
59,148371
60,177081
61,161298
62,166491
63,164275
64,159806
65,179493
66,163230
67,197141
68,192742
69,170162
70,169210
71,161112
72,146448
73,177412
74,163813
75,165357
76,163225
77,166752
78,156516
79,176027
80,168805
81,160519
82,167583
83,170037
84,152159
85,179278
86,160972
87,169304
88,159054
89,155513
90,188978
91,170830
92,154697
93,167364
94,151268
95,158993
96,179349
97,159759
98,162371
99,169887
100,161107
101,159754
102,170694
103,167162
104,163771
105,166505
106,171795
107,148679
108,181863
109,160141
110,171310
111,161149
112,161065
113,158751
114,180426
115,157888
116,164905
117,168735
118,152947
119,192402
120,159395
121,168474
122,161149
123,165380
124,144648
125,180505
126,166971
127,160421
128,170671
129,160221
130,151954
131,175788
132,164690
133,170727
134,158891
135,168926
136,160276
137,167424
138,164635
139,168445
140,172667
141,159363
142,151566
143,175229
144,163305
145,167358
146,164653
147,165819
148,163598
149,170228
150,169556
151,159671
152,221201
153,168413
154,162796
155,159148
156,171879
157,165165
158,167126
159,163537
160,166962
161,161187
162,170998
163,164503
164,174548
165,159549
166,168642
167,147475
168,185063
169,154869
170,167349
171,170307
172,166486
173,147736
174,187079
175,152346
176,166990
177,165665
178,163976
179,156302
180,176735
181,165031
182,163594
183,167364
184,154277
185,177860
186,167891
187,160407
188,169789
189,162161
190,156194
191,178527
192,161653
193,165059
194,166650
195,162409
196,156102
197,174161
198,165628
199,167546
200,169789
201,183776
202,197791
203,165418
204,162296
205,170895
206,173144
207,176390
208,172369
209,157617
210,154669
211,174197
212,169603
213,170783
214,156792
215,163944
216,156605
217,174674
218,164476
219,175215
220,159959
221,161069
222,162484
223,170045
224,169766
225,160072
226,170769
227,152919
228,172756
229,165372
230,169402
231,161326
232,170055
233,152373
234,173880
235,164028
236,171851
237,162339
238,163571
239,158499
240,180408
241,157608
242,163520
243,172533
244,160860
245,155024
246,173377
247,169812
248,161844
249,163916
250,167998
251,158695
252,171151
253,164078
254,168618
255,162218
256,175099
257,147055
258,173134
259,166202
260,167158
261,163995
262,157996
263,173983
264,166267
265,161410
266,168884
267,162997
268,156834
269,177758
270,170190
271,162068
272,158901
273,167918
274,157515
275,171552
276,164676
277,166981
278,162820
279,164746
280,163426
281,168516
282,167708
283,163780
284,164714
285,170331
286,152579
287,172668
288,168105
289,163057
290,167905
291,154319
292,259960
293,220063
294,170433
295,161056
296,159405
297,170717
298,168432
299,164008
300,166878
301,224821
302,260730
303,187443
304,166375
305,157043
306,173251
307,153087
308,179657
309,156130
310,165889
311,165516
312,162614
313,170424
314,162927
315,168674
316,163836
317,165777
318,159358
319,169607
320,164280
321,168787
322,165390
323,163519
324,155956
325,175914
326,163729
327,168549
328,161583
329,166118
330,162171
331,170092
332,161489
333,166328
334,165726
335,166454
336,157478
337,227686
338,173176
339,169094
340,163622
341,162848
342,166043
343,156190
344,172812
345,165245
346,167196
347,171086
348,159931
349,161265
350,169225
351,171791
352,161228
353,163081
354,166211
355,155038
356,177473
357,169468
358,158989
359,165628
360,165003
361,163291
362,167923
363,170456
364,169332
365,158088
366,163202
367,198644
368,159106
369,181010
370,160888
371,164872
372,164228
373,172304
374,151581
375,179017
376,161471
377,166855
378,159461
379,163048
380,171348
381,166398
382,172108
383,157841
384,167606
385,151902
386,179349
387,165432
388,158975
389,164732
390,167881
391,154645
392,175416
393,165992
394,162525
395,166383
396,165096
397,156068
398,178285
399,167648
400,159843
401,168651
402,163221
403,158584
404,171385
405,166626
406,187629
407,269613
408,187778
409,159517
410,166468
411,165549
412,165945
413,157077
414,184484
415,154426
416,163915
417,167116
418,163197
419,158901
420,173624
421,167359
422,162586
423,171468
424,169696
425,149187
426,178476
427,160547
428,163529
429,171824
430,150731
431,284971
432,153125
433,159171
434,292893
435,170737
436,161163
437,153759
438,176690
439,162731
440,167396
441,162670
442,157641
443,177599
444,169757
445,159847
446,163720
447,165740
448,161364
449,176195
450,203846
451,166677
452,165306
453,163837
454,166813
455,155598
456,179102
457,161700
458,212384
459,196064
460,166523
461,218523
462,211352
463,166449
464,160944
465,165259
466,175840
467,149919
468,172173
469,168800
470,161807
471,165400
472,161363
473,171819
474,166118
475,169299
476,169299
477,159848
478,160953
479,170107
480,159871
481,169098
482,163640
483,169999
484,150326
485,179596
486,160967
487,165119
488,172957
489,158570
490,153857
491,173970
492,172467
493,157981
494,173970
495,159012
496,154608
497,175682
498,166999
499,176344
500,166033
501,169365
502,154048
503,179181
504,162469
505,163450
506,167820
507,163365
508,158192
509,182367
510,157743
511,161839
512,171207
513,160753
514,158177
515,173657
516,166598
517,163509
518,165819
519,155947
520,174021
521,163467
522,171712
523,163113
524,169164
525,149570
526,181700
527,159764
528,170942
529,163258
530,158877
531,159656
532,174161
533,167405
534,160491
535,173167
536,157855
537,160813
538,170694
539,167298
540,162745
541,165772
542,165423
543,156637
544,172616
545,165394
546,166290
547,166029
548,170610
549,150284
550,173969
551,167083
552,166309
553,164201
554,157370
555,177599
556,160533
557,171884
558,160295
559,228306
560,171739
561,168609
562,150601
563,177491
564,161373
565,166509
566,163011
567,166062
568,156423
569,175779
570,170848
571,156750
572,166342
573,168464
574,153978
575,178714
576,163715
577,165847
578,167406
579,162055
580,159456
581,175583
582,161895
583,166817
584,165558
585,166244
586,154920
587,176139
588,167448
589,159997
590,166108
591,157109
592,179969
593,158947
594,166724
595,169122
596,159292
597,162208
598,170288
599,167765
600,164056
601,166225
602,169364
603,151100
604,182824
605,156992
606,164331
607,165558
608,164331
609,157716
610,177515
611,170866
612,171734
613,159940
614,168884
615,153690
616,174389
617,169323
618,162969
619,167723
620,169132
621,148548
622,180422
623,158453
624,166757
625,166496
626,168511
627,151277
628,176241
629,165717
630,171679
631,159087
632,154622
633,178411
634,165418
635,170205
636,156726
637,171968
638,152252
639,178588
640,159133
641,163776
642,169678
643,163850
644,158079
645,179493
646,157119
647,163990
648,166607
649,165469
650,156390
651,172365
652,168231
653,164177
654,164849
655,171483
656,150708
657,174422
658,175915
659,154944
660,167233
661,169575
662,149728
663,181499
664,157370
665,167424
666,164205
667,168894
668,160184
669,169663
670,224602
671,176353
672,168329
673,171115
674,156564
675,156726
676,178480
677,160688
678,176087
679,161074
680,265307
681,209687
682,252296
683,171371
684,161438
685,166145
686,172920
687,156895
688,160286
689,171366
690,164718
691,171977
692,160444
693,172569
694,147111
695,180897
696,160663
697,164700
698,163794
699,175438
700,145828
701,178970
702,159423
703,170429
704,170368
705,158882
706,156670
707,174240
708,168362
709,173513
710,181359
711,258010
712,246594
713,178555
714,158341
715,165777
716,178546
717,157360
718,149379
719,177076
720,161998
721,166504
722,169640
723,151174
724,199507
725,170331
726,159321
727,167979
728,170065
729,253560
730,168040
731,170359
732,159195
733,161564
734,168903
735,164368
736,165516
737,166645
738,335585
739,181210
740,165950
741,164616
742,166859
743,169053
744,159703
745,170587
746,167200
747,169939
748,156703
749,163818
750,156642
751,175089
752,164490
753,167680
754,164088
755,166379
756,154212
757,176610
758,164275
759,167410
760,163430
761,155187
762,178985
763,169808
764,160449
765,162590
766,162605
767,159955
768,171889
769,169747
770,170577
771,155710
772,167424
773,154389
774,179988
775,158774
776,165596
777,170807
778,166705
779,150656
780,174687
781,165814
782,162022
783,172295
784,162264
785,161751
786,164652
787,165581
788,168100
789,161279
790,166449
791,156843
792,179848
793,166594
794,160025
795,166962
796,234296
797,166920
798,164579
799,156423
800,192794
801,225315
802,166160
803,210709
804,209328
805,164615
806,170470
807,160719
808,164588
809,157604
810,179013
811,160509
812,163389
813,167083
814,169953
815,149622
816,174487
817,165404
818,165614
819,167490
820,163071
821,156143
822,179232
823,160795
824,172565
825,158854
826,164727
827,156344
828,179409
829,161280
830,166528
831,165306
832,166103
833,153573
834,179661
835,162045
836,165241
837,173881
838,146915
839,178102
840,164121
841,163085
842,164872
843,168506
844,152971
845,180323
846,160776
847,170713
848,159871
849,167392
850,179012
851,157287
852,173601
853,174959
854,156717
855,171002
856,151198
857,179960
858,160053
859,166482
860,165012
861,162520
862,157090
863,175961
864,174613
865,164620
866,166052
867,168777
868,151370
869,182656
870,162358
871,186267
872,168003
873,166771
874,164620
875,160104
876,171535
877,168992
878,166925
879,163846
880,162633
881,155612
882,171925
883,169854
884,165740
885,164723
886,168436
887,150559
888,172663
889,169868
890,164172
891,161728
892,157511
893,178327
894,160874
895,176200
896,201681
897,180636
898,166262
899,160878
