Frame Count,Frame Time (ns)
0,148348
1,762680
2,8351411
3,850411
4,680337
5,485696
6,490081
7,486863
8,484128
9,487114
10,487003
11,568846
12,477200
13,496165
14,484291
15,515698
16,511980
17,582884
18,495792
19,546886
20,540467
21,531584
22,555587
23,827178
24,505808
25,554308
26,544950
27,503368
28,558181
29,622404
30,506377
31,556007
32,552428
33,499841
34,478913
35,571915
36,514551
37,539365
38,563644
39,525734
40,546760
41,628935
42,508384
43,566317
44,541489
45,512498
46,505696
47,583121
48,516095
49,557663
50,566546
51,502323
52,538339
53,649271
54,534556
55,579189
56,566527
57,516977
58,560374
59,658579
60,527669
61,570763
62,567050
63,545724
64,570814
65,667498
66,508052
67,553409
68,573502
69,516912
70,569699
71,686160
72,536460
73,570683
74,581834
75,542347
76,588925
77,668618
78,554080
79,570072
80,550735
81,528127
82,680580
83,569344
84,525043
85,552018
86,553389
87,515867
88,655989
89,564623
90,539389
91,580989
92,581820
93,545169
94,679931
95,580873
96,561727
97,566359
98,546583
99,524539
100,656591
101,543555
102,519015
103,545449
104,561185
105,508514
106,658294
107,556180
108,530198
109,579058
110,573469
111,547726
112,681793
113,608081
114,584157
115,605883
116,591220
117,650400
118,596627
119,587175
120,562645
121,590926
122,586238
123,667367
124,626883
125,618643
126,591841
127,620948
128,701793
129,589438
130,613595
131,596380
132,549792
133,675569
134,592998
135,556832
136,586910
137,570665
138,534407
139,676068
140,596049
141,569476
142,594977
143,600653
144,561614
145,716634
146,616581
147,588384
148,629994
149,613577
150,686658
151,639591
152,620901
153,600252
154,626168
155,731460
156,617855
157,681728
158,674021
159,633866
160,764816
161,647740
162,615415
163,634430
164,618727
165,687214
166,610773
167,597710
168,580443
169,628851
170,692085
171,577565
172,620467
173,604050
174,564022
175,591374
176,684891
177,547726
178,625697
179,621573
180,573422
181,701191
182,619651
183,576254
184,629938
185,608869
186,596371
187,731773
188,612844
189,595759
190,623253
191,618979
192,661975
193,603178
194,626710
195,606541
196,627036
197,744275
198,579986
199,616675
200,617701
201,576632
202,713059
203,594272
204,567768
205,616562
206,580705
207,563056
208,712976
209,617658
210,595499
211,638135
212,641004
213,724975
214,628067
215,642926
216,629126
217,629677
218,713653
219,600160
220,649173
221,620365
222,581969
223,718915
224,624619
225,581760
226,623617
227,618685
228,596072
229,737926
230,623934
231,585459
232,619287
233,606070
234,661210
235,609154
236,604199
237,564358
238,608529
239,694086
240,565057
241,610787
242,613064
243,580985
244,619371
245,730555
246,589606
247,622287
248,637706
249,591827
250,723240
251,636530
252,604960
253,635364
254,627274
255,686459
256,626304
257,622515
258,589438
259,617145
260,720324
261,597188
262,655909
263,633465
264,600766
265,644848
266,717557
267,576912
268,638723
269,615877
270,582534
271,691884
272,600518
273,552843
274,599026
275,583714
276,643024
277,611864
278,607605
279,562105
280,604236
281,592718
282,654081
283,602156
284,592210
285,562972
286,606402
287,602996
288,672434
289,602287
290,619114
291,567591
292,619889
293,709029
294,589625
295,628841
296,661341
297,573232
298,680827
299,588422
300,572316
301,639796
302,617818
303,582155
304,682479
305,580990
306,572849
307,610857
308,612583
309,658410
310,599464
311,620374
312,567777
313,612910
314,595191
315,675280
316,614981
317,621881
318,624134
319,630353
320,940531
321,640747
322,641112
323,613464
324,621685
325,724667
326,590833
327,629914
328,625911
329,586649
330,717697
331,642973
332,652840
333,681219
334,636712
335,677878
336,601447
337,584064
338,560434
339,624685
340,603154
341,667079
342,624974
343,598797
344,551015
345,602058
346,679227
347,575316
348,586924
349,572937
350,554897
351,603247
352,686010
353,548556
354,587091
355,612466
356,570400
357,698438
358,605445
359,578074
360,632835
361,613955
362,574994
363,708441
364,615270
365,585100
366,649910
367,610124
368,679437
369,606999
370,618690
371,557229
372,602823
373,700501
374,586396
375,618027
376,617766
377,544129
378,610395
379,679899
380,561293
381,612163
382,564535
383,550558
384,679582
385,586513
386,549779
387,592737
388,617939
389,571290
390,705973
391,618932
392,571235
393,626742
394,624265
395,677730
396,640686
397,622636
398,580985
399,621699
400,611986
401,665101
402,599399
403,611408
404,565095
405,604717
406,690554
407,570721
408,590759
409,612321
410,578866
411,689580
412,616558
413,559865
414,638676
415,595471
416,571677
417,702880
418,578900
419,546625
420,597985
421,585711
422,637454
423,589513
424,584661
425,577607
426,602474
427,604111
428,675770
429,625432
430,641125
431,583863
432,632826
433,696288
434,557933
435,591953
436,597020
437,542590
438,583639
439,671865
440,537691
441,586956
442,595513
443,558447
444,707839
445,595270
446,548244
447,610372
448,593045
449,558368
450,691898
451,589308
452,538890
453,596893
454,602450
455,649603
456,609644
457,579501
458,562906
459,599679
460,595960
461,636828
462,595834
463,609374
464,575377
465,633087
466,724453
467,598153
468,630722
469,609439
470,573805
471,605235
472,678873
473,532274
474,588743
475,585529
476,549116
477,705483
478,618704
479,553390
480,598135
481,589849
482,565767
483,682451
484,605454
485,548916
486,581587
487,576534
488,640705
489,610880
490,601125
491,566677
492,597328
493,594738
494,652504
495,604377
496,623136
497,583542
498,643094
499,719428
500,595088
501,648823
502,656167
503,608893
504,725838
505,622898
506,603210
507,627591
508,622184
509,583140
510,691594
511,614253
512,602450
513,607633
514,611006
515,683855
516,608277
517,595629
518,561825
519,592457
520,677986
521,572093
522,608916
523,623154
524,603915
525,639026
526,719334
527,613073
528,679716
529,658457
530,611674
531,755691
532,648352
533,612667
534,635271
535,646038
536,680486
537,649779
538,627419
539,604101
540,634356
541,699283
542,572722
543,627610
544,639092
545,577215
546,694161
547,607862
548,582940
549,617528
550,615662
551,551770
552,692560
553,577215
554,558027
555,598097
556,618097
557,655821
558,616446
559,634659
560,614911
561,636908
562,701634
563,555359
564,592709
565,586336
566,573544
567,593264
568,702474
569,564814
570,606038
571,629354
572,588038
573,754599
574,629691
575,590708
576,662829
577,615620
578,661601
579,609102
580,604894
581,578493
582,610638
583,589956
584,845349
585,593768
586,591439
587,565668
588,590932
589,675583
590,561405
591,605025
592,611473
593,777661
594,607456
595,708843
596,567474
597,589037
598,603113
599,567679
600,702460
601,632747
602,598410
603,653489
604,651179
605,690121
606,645637
607,627377
608,606252
609,646593
610,613437
611,675625
612,616072
613,598247
614,566588
615,606938
616,676246
617,560743
618,604544
619,602790
620,577159
621,692924
622,585081
623,545421
624,583737
625,589989
626,567399
627,726286
628,607442
629,570474
630,609677
631,618891
632,655056
633,632826
634,623617
635,631057
636,641736
637,736559
638,590250
639,647219
640,657590
641,587106
642,605702
643,691328
644,556772
645,608174
646,593506
647,571575
648,696895
649,609620
650,563569
651,604774
652,582412
653,556133
654,666565
655,579501
656,547138
657,609145
658,573567
659,656665
660,603850
661,586475
662,559315
663,621144
664,597160
665,650587
666,607395
667,600206
668,581731
669,618685
670,703837
671,581512
672,613829
673,635620
674,571071
675,615509
676,714068
677,579352
678,622352
679,626429
680,604741
681,726556
682,644423
683,584395
684,619161
685,604106
686,663229
687,598778
688,602464
689,601549
690,595144
691,580024
692,664583
693,591127
694,587554
695,560191
696,581787
697,676638
698,569723
699,620178
700,606854
701,594538
702,637449
703,726123
704,619362
705,665683
706,651832
707,637057
708,758878
709,661452
710,618797
711,659381
712,641400
713,685292
714,655037
715,651352
716,594757
717,609406
718,691492
719,566681
720,609555
721,609065
722,539343
723,665660
724,576203
725,544152
726,587026
727,592355
728,563252
729,685562
730,605487
731,578638
732,624401
733,624909
734,703267
735,647316
736,642184
737,608846
738,660412
739,742190
740,631622
741,640669
742,660422
743,629667
744,722997
745,662441
746,584941
747,648697
748,635111
749,699493
750,632695
751,635658
752,603421
753,634226
754,602455
755,662978
756,604544
757,603294
758,566429
759,617038
760,716265
761,571472
762,607638
763,622025
764,605580
765,747345
766,629187
767,606714
768,662353
769,648338
770,723393
771,670022
772,632098
773,604811
774,642664
775,721467
776,597244
777,630073
778,630026
779,603005
780,659101
781,706873
782,591841
783,622907
784,665726
785,573838
786,691781
787,593255
788,578670
789,583835
790,598345
791,657855
792,590955
793,607116
794,548598
795,593320
796,600491
797,643738
798,606066
799,629961
800,605510
801,619147
802,723734
803,583117
804,627204
805,627606
806,594150
807,619162
808,703697
809,587139
810,621326
811,626318
812,594356
813,720758
814,630035
815,592065
816,647409
817,649056
818,711884
819,623855
820,615825
821,578979
822,637188
823,697907
824,572419
825,605240
826,601713
827,569256
828,620258
829,703780
830,575503
831,636376
832,636063
833,583994
834,721751
835,623724
836,586191
837,614034
838,629849
839,691748
840,632294
841,627400
842,578111
843,604442
844,736835
845,591053
846,628016
847,610083
848,597421
849,645632
850,734404
851,598382
852,649681
853,598974
854,564390
855,691348
856,574659
857,562356
858,578984
859,570707
860,533651
861,677440
862,582693
863,551347
864,610287
865,608478
866,629458
867,593376
868,570744
869,535643
870,594108
871,625632
872,649989
873,592746
874,601852
875,566084
876,592042
877,720454
878,572517
879,607853
880,599968
881,551780
882,596959
883,673428
884,539944
885,577234
886,592097
887,528607
888,646920
889,558227
890,527870
891,571267
892,588249
893,548953
894,649574
895,588421
896,566690
897,608692
898,606336
899,585440
