Frame Count,Frame Time (ns)
0,758322
1,459369
2,10530693
3,993818
4,670732
5,587176
6,466755
7,359499
8,379009
9,378300
10,411316
11,314293
12,378828
13,372945
14,227835
15,332608
16,218994
17,455670
18,349833
19,241346
20,326105
21,218878
22,373854
23,259830
24,238695
25,307817
26,214152
27,234488
28,438427
29,356560
30,224509
31,326469
32,232006
33,377605
34,267583
35,327779
36,216293
37,247630
38,388946
39,358258
40,269501
41,346002
42,216157
43,226095
44,367267
45,347705
46,217768
47,217819
48,305359
49,304664
50,363679
51,274983
52,333859
53,219890
54,230126
55,358827
56,243552
57,230322
58,395431
59,281094
60,241183
61,272715
62,357760
63,219242
64,226534
65,302438
66,208688
67,280235
68,383918
69,222152
70,392721
71,309366
72,248320
73,369133
74,263063
75,338100
76,206128
77,238197
78,324556
79,349147
80,379033
81,314979
82,215541
83,234754
84,359700
85,360600
86,219615
87,242209
88,230531
89,410057
90,334666
91,280949
92,332007
93,221611
94,319317
95,275696
96,375515
97,217669
98,306450
99,311507
100,309399
101,265428
102,383432
103,213634
104,229150
105,308568
106,232249
107,458087
108,337185
109,233643
110,246729
111,317008
112,360946
113,298935
114,332846
115,218579
116,240347
117,435362
118,371303
119,227489
120,316056
121,219442
122,385541
123,258360
124,432628
125,283660
126,233914
127,364347
128,255206
129,239946
130,306735
131,214926
132,251241
133,375380
134,428672
135,232202
136,324309
137,229062
138,378432
139,359602
140,237180
141,246534
142,402546
143,317983
144,310028
145,394535
146,311218
147,232467
148,261477
149,442234
150,355454
151,349222
152,234502
153,344099
154,366553
155,369619
156,328017
157,339270
158,244182
159,393347
160,398944
161,413015
162,345242
163,250620
164,396421
165,373593
166,239228
167,407972
168,313313
169,400260
170,264355
171,326016
172,218346
173,259764
174,453338
175,414112
176,379411
177,364734
178,401804
179,484207
180,329412
181,377116
182,380465
183,462005
184,356117
185,353421
186,373439
187,301048
188,421300
189,319023
190,355328
191,275244
192,406507
193,320567
194,323637
195,346049
196,384515
197,376952
198,236871
199,433435
200,321094
201,404683
202,386968
203,264915
204,444912
205,335646
206,404067
207,396640
208,339616
209,326124
210,340040
211,400572
212,423587
213,363554
214,431317
215,419444
216,414835
217,458632
218,355282
219,417993
220,409311
221,446512
222,341957
223,429138
224,393505
225,420517
226,370556
227,427865
228,413883
229,434812
230,440503
231,417755
232,515209
233,386679
234,383824
235,422364
236,581022
237,367818
238,396173
239,506260
240,495871
241,379542
242,467786
243,483051
244,443307
245,372548
246,441175
247,415697
248,432493
249,474975
250,431900
251,426353
252,505804
253,382019
254,399934
255,614771
256,519197
257,416360
258,529097
259,542403
260,495638
261,490534
262,626206
263,535699
264,448845
265,635415
266,527568
267,496029
268,542865
269,607740
270,488579
271,470100
272,625707
273,494840
274,548211
275,537611
276,492218
277,547927
278,549284
279,508453
280,559786
281,630428
282,497658
283,632531
284,545170
285,523027
286,546154
287,553063
288,497676
289,541708
290,636497
291,505164
292,548981
293,946255
294,709566
295,634212
296,799582
297,642063
298,720800
299,697981
300,734278
301,688894
302,711833
303,625828
304,669784
305,673736
306,562240
307,668852
308,725129
309,559478
310,683094
311,613307
312,639983
313,662414
314,704708
315,610059
316,701971
317,679017
318,620239
319,746007
320,674100
321,671216
322,677519
323,684704
324,691992
325,660328
326,773723
327,588104
328,700094
329,781365
330,684704
331,715495
332,784640
333,661532
334,773946
335,702913
336,596665
337,782106
338,704755
339,738967
340,735402
341,713531
342,811787
343,735052
344,834162
345,814577
346,824947
347,729514
348,778962
349,749464
350,630634
351,679162
352,741159
353,656339
354,692136
355,632326
356,613670
357,769780
358,636992
359,706575
360,693270
361,554215
362,698555
363,704285
364,545719
365,660649
366,568655
367,624297
368,558493
369,669286
370,617151
371,682950
372,652831
373,554915
374,661667
375,589676
376,631748
377,628609
378,657748
379,573899
380,569798
381,623770
382,541409
383,555424
384,546084
385,644984
386,564703
387,655317
388,541390
389,678616
390,575849
391,636194
392,670097
393,695215
394,625944
395,652365
396,672225
397,595102
398,583976
399,668184
400,542813
401,676941
402,565412
403,599474
404,578955
405,648431
406,632061
407,649724
408,676806
409,531631
410,643025
411,545374
412,569886
413,547507
414,576921
415,529130
416,643514
417,569392
418,611608
419,657221
420,564437
421,651277
422,572233
423,673605
424,532191
425,678275
426,722367
427,546042
428,656810
429,572821
430,616157
431,548011
432,661662
433,508066
434,654454
435,561241
436,613404
437,555877
438,690293
439,533100
440,684252
441,659483
442,596856
443,752803
444,580411
445,665487
446,703995
447,598956
448,636446
449,556716
450,663467
451,519921
452,678765
453,684414
454,619940
455,684923
456,621633
457,654846
458,808918
459,692416
460,724699
461,758360
462,569727
463,718709
464,719040
465,570716
466,761705
467,566345
468,667610
469,706556
470,571580
471,632905
472,569415
473,688221
474,526056
475,659442
476,574356
477,630577
478,544642
479,668623
480,502281
481,655107
482,554985
483,637580
484,693270
485,633983
486,633987
487,554807
488,665768
489,563509
490,690689
491,667377
492,577467
493,745437
494,659665
495,575186
496,694030
497,641083
498,636614
499,551682
500,682856
501,502230
502,635554
503,522024
504,642395
505,545972
506,671777
507,528230
508,694422
509,622842
510,535050
511,645772
512,550721
513,610642
514,559674
515,653717
516,514901
517,666038
518,556884
519,616245
520,563658
521,685502
522,639166
523,606224
524,688156
525,718136
526,579627
527,679959
528,731492
529,666416
530,771338
531,535600
532,685796
533,635121
534,592974
535,549909
536,672173
537,517798
538,648693
539,570204
540,556678
541,557555
542,656671
543,530973
544,644970
545,531192
546,592149
547,540910
548,662782
549,516945
550,701840
551,622124
552,555489
553,654370
554,574159
555,651659
556,578648
557,689552
558,687321
559,570427
560,674776
561,522766
562,664111
563,565869
564,630894
565,552004
566,650321
567,504203
568,633115
569,527548
570,519329
571,531817
572,614808
573,513305
574,562496
575,658597
576,457522
577,646948
578,537705
579,625800
580,539104
581,625744
582,512965
583,571560
584,552494
585,640510
586,596488
587,659110
588,606182
589,674604
590,681294
591,565743
592,683029
593,746477
594,547941
595,670955
596,561937
597,632215
598,533031
599,679731
600,494373
601,653106
602,547973
603,639394
604,522421
605,673871
606,493239
607,658121
608,557443
609,538810
610,566770
611,647275
612,517047
613,635191
614,548519
615,610251
616,551813
617,663864
618,537238
619,657015
620,560355
621,597337
622,631291
623,560112
624,637487
625,592821
626,714353
627,544124
628,755510
629,684924
630,540042
631,665017
632,572303
633,635378
634,749296
635,587017
636,643785
637,568580
638,654179
639,508192
640,630964
641,524338
642,622236
643,579851
644,662348
645,521022
646,666602
647,640001
648,521694
649,559487
650,653740
651,500364
652,591725
653,657248
654,601671
655,670395
656,564708
657,617253
658,564923
659,661559
660,535978
661,657472
662,638947
663,536217
664,674366
665,554178
666,613660
667,559968
668,674114
669,519608
670,652350
671,553585
672,603443
673,535306
674,646239
675,493520
676,521358
677,540933
678,421898
679,619698
680,534350
681,524945
682,532214
683,602893
684,492759
685,567437
686,549858
687,603234
688,564110
689,668179
690,490627
691,659959
692,536282
693,456720
694,641909
695,627601
696,580649
697,668021
698,548734
699,634141
700,524852
701,639670
702,511733
703,657925
704,544171
705,626975
706,550222
707,630078
708,488682
709,539305
710,534743
711,421544
712,641769
713,525771
714,516972
715,553949
716,650987
717,510478
718,652784
719,532527
720,562095
721,579053
722,691977
723,593633
724,683893
725,673190
726,544852
727,670545
728,639306
729,618456
730,565916
731,646327
732,517565
733,675952
734,530110
735,535722
736,539254
737,626989
738,500588
739,643798
740,564008
741,509013
742,548346
743,629444
744,518605
745,617780
746,550907
747,511817
748,540168
749,607358
750,476841
751,481259
752,642665
753,506480
754,585711
755,569088
756,602254
757,579324
758,662572
759,545015
760,643803
761,667162
762,619078
763,691432
764,593656
765,670106
766,637999
767,697823
768,630904
769,600412
770,650208
771,550917
772,661849
773,653250
774,594496
775,573376
776,656231
777,517583
778,672602
779,602856
780,687022
781,653554
782,690507
783,634412
784,597617
785,685353
786,611435
787,693521
788,666440
789,618182
790,634963
791,573642
792,612854
793,554985
794,707998
795,535657
796,661896
797,597393
798,630946
799,641927
800,794129
801,592019
802,808246
803,803935
804,666509
805,681326
806,668091
807,572191
808,716596
809,656329
810,557626
811,671249
812,645921
813,623513
814,576044
815,643822
816,503671
