Frame Count,Frame Time (ns)
0,785139
1,501115
2,11158097
3,1143108
4,885321
5,684452
6,803721
7,553408
8,626355
9,515503
10,466979
11,490118
12,427748
13,447991
14,336247
15,398930
16,384234
17,429978
18,345826
19,403302
20,401707
21,455134
22,362662
23,389078
24,404640
25,443712
26,371349
27,394013
28,398698
29,484548
30,350807
31,430953
32,596805
33,362032
34,392861
35,590167
36,421543
37,505883
38,454107
39,412003
40,488817
41,361897
42,364996
43,503635
44,460144
45,415073
46,422831
47,396785
48,405845
49,371134
50,478203
51,431410
52,604578
53,342928
54,395697
55,549387
56,472792
57,462528
58,428336
59,411294
60,501470
61,356000
62,359868
63,510464
64,495213
65,359947
66,483111
67,395674
68,403438
69,359644
70,420135
71,421819
72,401086
73,498325
74,381925
75,423279
76,499603
77,378151
78,459178
79,481880
80,446885
81,500089
82,384160
83,632004
84,552774
85,477896
86,588561
87,588351
88,477280
89,550455
90,536837
91,527968
92,517774
93,630186
94,487165
95,663622
96,535074
97,656927
98,691655
99,707826
100,774847
101,813140
102,885065
103,828125
104,862046
105,868046
106,711124
107,848433
108,849907
109,1058241
110,927608
111,976197
112,978311
113,1162819
114,1033450
115,1133465
116,965135
117,1184303
118,1007632
119,1149201
120,1176451
121,1012489
122,1197921
123,1060644
124,1137589
125,1033468
126,1112606
127,988182
128,1107152
129,1031869
130,1161839
131,1128057
132,1168240
133,1018796
134,1243631
135,1035236
136,1124363
137,1159017
138,1080089
139,1101675
140,1127787
141,1167885
142,1097798
143,1123817
144,1589499
145,1201382
146,1163187
147,1121237
148,1074490
149,1082842
150,1150740
151,1270051
152,1223244
153,1149005
154,1150783
155,1199908
156,1162572
157,1271744
158,1247620
159,1159156
160,1234034
161,1206528
162,1161671
163,1378744
164,1305596
165,1582361
166,1205973
167,1117542
168,1023951
169,1126313
170,1110884
171,1180131
172,1133773
173,1134211
174,1092098
175,1117272
176,1110857
177,1196064
178,1176105
179,1057505
180,1180365
181,1190718
182,935133
183,1164876
184,1193652
185,1370994
186,1212486
187,994475
188,1093511
189,1125655
190,1180062
191,1161265
192,1308913
193,1142455
194,1323856
195,1256904
196,1082412
197,1206594
198,991914
199,1108197
200,977582
201,1137108
202,1098451
