Frame No.,csharp-1000,csharp-1500,csharp-2000,csharp-2500,csharp-500,csharp-inverse-1000,csharp-inverse-1500,csharp-inverse-2000,csharp-inverse-2500,csharp-inverse-500,FRP-1000,FRP-1500,FRP-2000,FRP-2500,FRP-500,FRP-inverse-1000,FRP-inverse-1500,FRP-inverse-2000,FRP-inverse-2500,FRP-inverse-500,mono-csharp-2500,mono-csharp-inverse-1500,mono-frp-inverse-1500,mono-fsharp-1500
0,410472,708992,1097449,1501809,246813,434914,757581,1137085,1564595,253368,411229,889389,1156777,1618666,262787,447757,756699,1144410,1616343,267163,714334,758322,785139,737813
1,428220,440344,665483,808106,407151,397443,439659,769584,867859,266557,394120,515498,664382,1005869,314437,395320,522459,755920,1042020,312696,448047,459369,501115,471135
2,10422183,10417083,11004870,11416579,9846441,9956198,10851349,10886143,11313620,10205395,10463680,10495526,10914573,11576972,10215430,11058880,10782265,11238635,11453766,10514024,10381202,10530693,11158097,10914265
3,757613,1048099,1423199,1902909,458642,701154,955464,1427552,1911647,444109,588211,1120868,1577285,2107269,425406,677319,1174888,1528000,2057373,445453,993650,993818,1143108,1098764
4,368984,804672,1316676,1663229,199172,299554,721537,1263445,1713545,191436,326278,742601,1303315,1836299,234525,336891,832627,1294516,1792799,296420,667727,670732,885321,697534
5,185138,705968,1182852,1556006,157001,158695,532260,1163566,1660388,174763,259928,742046,1279652,1835687,183715,172140,675980,1212640,1668361,105310,561241,587176,684452,606052
6,201415,624284,1194794,1664778,171310,171865,558382,1143681,1574863,155262,180081,506475,1202810,1696586,162763,168669,641587,1240967,1767756,199549,459986,466755,803721,469311
7,218360,522384,1194898,1541106,166481,205035,475343,1246930,1637840,155644,275067,378781,1216741,1730671,169388,214450,496449,1210401,1734417,198738,352255,359499,553408,373808
8,171856,523392,1104913,1594010,173475,209799,428494,1213176,1595885,146780,200021,467370,1181661,1758005,163738,198765,585991,1227326,1699105,141107,397386,379009,626355,493981
9,167158,516758,1209532,1542934,135817,155257,582403,1080746,1541824,197128,178588,468537,1247662,1671799,134375,173130,469530,1226841,1733978,161527,361767,378300,515503,390910
10,181724,451910,1160920,1569372,208101,170345,466624,1172620,1631127,162796,156064,356550,1144974,1731777,208516,155522,369283,1231212,1674664,175612,340003,411316,466979,436416
11,155779,422719,1143309,1585034,155033,174329,367272,1191889,1611109,164069,102823,357517,1214146,1652606,150751,230466,449973,1323156,2084936,131048,430943,314293,490118,319849
12,101261,406484,1070581,1626956,165739,173545,486018,1154534,1698727,165647,241038,300371,1213148,1788362,170335,165526,390995,1273504,1793685,202302,319574,378828,427748,415119
13,249702,330323,1178103,1633143,166463,159847,384757,1183397,1623066,184088,162591,245195,1221574,1723472,161891,170246,357451,1275598,1912865,163192,391172,372945,447991,405621
14,183276,418082,1163990,1684227,165805,107335,372786,1095998,1624484,139502,166878,243151,1204303,1713405,178364,173461,333747,1219927,1823473,159175,271395,227835,336247,353197
15,191651,394238,1178462,1640701,140225,271983,240981,1177813,1695434,220189,170606,338370,1205315,1731338,165688,158761,296271,1229308,1817473,168488,336901,332608,398930,240380
16,197025,397872,1085808,1617113,206174,255514,484945,1209728,1677813,179097,186211,222227,1209686,1825727,140286,187475,364575,1213377,1687269,167746,219909,218994,384234,351928
17,171380,349287,1191832,1568943,154963,181555,363567,1247009,1644180,190507,198654,244900,1161793,1704592,203160,227462,321262,1360950,1823516,142255,256672,455670,429978,479155
18,179371,229734,1153069,1612140,179255,170037,338132,1207661,1687274,144414,170419,480597,1224453,1674921,163127,97869,247116,1317973,1761746,198108,387323,349833,345826,377848
19,162675,405532,1152523,1635708,263044,120309,318216,1166439,1737669,171105,111333,376770,1231222,1820161,162591,246067,447841,1264093,1898146,328615,397582,241346,403302,343581
